pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
information,imdb,run-001,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
information,imdb,run-001,N,positive|negative|neutral,10000,4639.0,0.4639,5116.0,0.5116,245,0.0245,0.9137,0.9375813525433904,0.9137,0.9249328702088454,0.9375813525433904,0.9137,0.9249328702088453,10000,0.9137,0.9375813525433904,0.9137,0.9249328702088454,0.9375813525433904,0.9137,0.9249328702088453,10000,,,,,,,,
information,imdb,run-001,S,positive|negative|neutral,10000,4350.0,0.435,5641.0,0.5641,9,0.0009,0.9117,0.9195063033985578,0.9117,0.9117326434379784,0.9195063033985578,0.9117,0.9117326434379786,10000,0.9117,0.9195063033985578,0.9117,0.9117326434379784,0.9195063033985578,0.9117,0.9117326434379786,10000,,,,,,,,
information,imdb,run-002,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
information,imdb,run-002,N,positive|negative|neutral,10000,4640.0,0.464,5099.0,0.5099,261,0.0261,0.9128,0.9381171553245735,0.9128000000000001,0.9247711453292897,0.9381171553245735,0.9128,0.9247711453292897,10000,0.9128,0.9381171553245735,0.9128000000000001,0.9247711453292897,0.9381171553245735,0.9128,0.9247711453292897,10000,,,,,,,,
information,imdb,run-002,S,positive|negative|neutral,10000,4368.0,0.4368,5624.0,0.5624,8,0.0008,0.9129,0.9202586768376242,0.9129,0.9129152980410111,0.9202586768376241,0.9129,0.9129152980410112,10000,0.9129,0.9202586768376242,0.9129,0.9129152980410111,0.9202586768376241,0.9129,0.9129152980410112,10000,,,,,,,,
information,imdb,avg,BASE,positive|negative|neutral,10000,4623.0,0.4623,5343.0,0.5343,34,0.0034,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,0.9265,0.9318787625721695,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.9279659964978239,10000,,,,,,,,
information,imdb,avg,N,positive|negative|neutral,20000,9279.0,0.46395,10215.0,0.51075,506,0.0253,0.9132499999999999,0.937849253933982,0.91325,0.9248520077690676,0.937849253933982,0.9132499999999999,0.9248520077690675,10000,0.9132499999999999,0.937849253933982,0.91325,0.9248520077690676,0.937849253933982,0.9132499999999999,0.9248520077690675,10000,,,,,,,,
information,imdb,avg,S,positive|negative|neutral,20000,8718.0,0.4359,11265.0,0.56325,17,0.00085,0.9123,0.919882490118091,0.9123,0.9123239707394948,0.9198824901180909,0.9123,0.9123239707394949,10000,0.9123,0.919882490118091,0.9123,0.9123239707394948,0.9198824901180909,0.9123,0.9123239707394949,10000,,,,,,,,
information,mental,run-001,BASE,normal|depression|neutral,31747,,,,,262,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
