text,label,prediction
Lagarde Says All the Blame Can’t Be Dumped on ECB Negative Rates,2,Bearable
"""We Totally Failed As A Business"": Unicorn Scooter Impales Investors After Company Goes Hooves-Up https://t.co/otp1fQAFgj",0,Bearable
"Mitsubishi postpones SpaceJet delivery again, books $4.5 billion special loss",0,Bearable
'Unfit' Uber loses London license over safety failures,0,"Bearable
(Note: Given the options and context, ""Bearish"" seems more fitting as the sentiment is negative towards the stock. However, since ""Bearish"" is the closest match among the given options, it's used here.)"
Tightrope Thiam: comeback CEO stung by a spying scandal,2,Bearable
Bond Investors Fume at Price Talk Some Call ‘Bait and Switch’,2,Bearable
OPEC+ Deal Isn't Worth the Paper It's Written On,2,Bearable
"Meridian Bioscience EPS beats by $0.04, misses on revenue",2,Bearable
"Total S.A. EPS beats by $0.16, misses on revenue",2,Bearable
"TransDigm Group EPS beats by $0.34, misses on revenue",2,Bearable
Cash Woes at India Shadow Lenders Risk More Bad Debt at Banks,0,Bearable
Facing Catastrophe: Loss Of Working Hours To Equal 195m Full-Time Jobs According To UN Agency  https://t.co/JUs99JOK5t,0,Bearable
"Study Finds Most Packaged Foods Contain Dangerously High Levels Of Salt, Fat",0,"Bearable
(Note: This is a playful way to express a slightly negative sentiment, as the finding is concerning but not necessarily leading to an extreme emotional response. However, in a more direct classification, it might lean more towards ""Bearish"" due to the health concern implied.)"
#SouthAfrica suffers among the highest levels of inequality in the world. #Inequality manifests itself through a sk... https://t.co/388qLKScln,2,"Bearable
(Note: This is a crafted response to fit the format, as the exact sentiment can be nuanced. In this case, it leans slightly negative but not extremely so, hence a mildly bearish classification.)"
5 Bad Decisions That Could Cost You Money at Tax Time,2,"Bearable
(Note: Given the options and context, ""Bearable"" is a playful way to suggest a slightly negative but not strongly so, aligning with the neutral category due to the focus on potential costs rather than an outright negative impact.)"
Barbados suffers second day of major power outages,2,Bearable
"Divestment Will Lead To Loss Of Jobs, Says Concor  Employees Union",2,Bearable
"Earning $40,000 a year in Omaha used to be enough to make rent comfortably. Not anymore. https://t.co/5CPNzcaT2y",2,Bearable
Even DIY Cocktails Can't Help Brexit Blues,2,Bearable
Flood-hit Venice’s dwindling population faces mounting woes,2,Bearable
"Gideon Rachman: Rather than making life simpler for Germany, Brexit is making it more complicated
https://t.co/JRo1ZlETzZ",2,Bearable
Glynn’s Take: RBA’s Faith Set to Be Disappointed https://t.co/xfEog5pdLl,2,Bearable
Gonna be a bad look when the anchors are all wearing surgical masks,2,Bearable
Stock Exchange: Losing Money On A Good Trade - Seeking Alpha,2,Bearable
Transportation is ‘broken’ — head of GM’s driverless car unit https://t.co/EJFrrux7y1,2,Bearable
"CN Rail Strike Begins in Threat to Canadian Oil, Grain Cargo",0,Bearable
Dubai's jobs disappeared at the fastest pace in at least a decade in the latest signs of strain on the Middle East'… https://t.co/7DTizm6doS,0,Bearable
"Loss of working hours to equal 195m full-time jobs, UN agency warns https://t.co/Ww1kXzUS6G",0,Bearable
The euro-area economy came close to a halt in November as the steep decline in manufacturing spread further into se… https://t.co/PKMjM0loEx,0,Bearable
Scottish salmon producers say Brexit will cost them $11 million #economy #MarketScreener https://t.co/DAR1OdVkC5 https://t.co/65Go4dGCLg,2,Bearable
"Nasdaq-100 futures retreat 15 points, or 0.2%",0,Bearable
Dow Jones Today: A Trade-Induced Hangover,2,Bearable
Brexit Bulletin: An Unpalletable Truth,2,Bearable
GEE : Announces Untimely Death of President George A. Bajalia #GEE #Stock #MarketScreener https://t.co/vSKEbo7mwW https://t.co/WQrm5xbNYK,2,Bearable
Thiam quits as Credit Suisse CEO after spying scandal split,2,Bearable
"Easy Come, Easy Go: How Stratasys (NASDAQ:SSYS) Shareholders Got Unlucky And Saw 82% Of Their Cash Evaporate",2,Bearable
National Oilwell Varco EPS of -$1.01,0,Bearable
Penn National EPS of -$0.80,0,Bearable
"Lowe's EPS beats by $0.06, misses on revenue",2,Bearable
"Molina Healthcare EPS beats by $0.07, misses on revenue",2,Bearable
Small U.S. businesses were already struggling. Then coronavirus hit https://t.co/hT3SLBlI3c https://t.co/vMqjAebRe4,0,Bearable
America isn’t ready for longer lifespans,2,Bearable
"Japan Post Probe Finds 9,000 Cases of Missold Insurance: Yomiuri",2,Bearable
Wuhan Doctor’s Death A Massive Headwind For China Coronavirus Sentiment,2,Bearable
$ALGN - Align loses patent case against 3Shape https://t.co/2HgNiksWgy,0,Bearable
San Francisco Faces Budget Gap as $6 Billion Can’t Meet Costs,0,Bearable
Dow heavyweight Boeing ending strong decade with whimper,0,Bearable
Imagine Owning Apex Global Brands (NASDAQ:APEX) And Taking A 98% Loss Square On The Chin,2,Bearable
