text,answer,prediction,normalized_label
longed $AMZN 300 @ 189.82,positive,Neutral (buying at current price),neutral
$ACAD under $2 today?,negative,Neutral (as of my knowledge cutoff in Dec 2023),invalid
Long $PCLN,positive,Neutral (as in Priceline),mixed
long $AAPL,positive,Neutral (as the price movement is not extreme),neutral
$NUGT longer term bullish,positive,bullish,positive
$AAPL long 630.91,positive,Neutral (market is stable),neutral
$PRGN A bottom right here?,neutral,Neutral (can't determine),invalid
$RSOL bought 3500 shares today!,positive,"Neutral (as the price of SOL, an Ethereum-based cryptocurrency and token for Polkadot's parachain network is not directly related to Tesla)",neutral
$SBUX inverted head & shoulders pattern in the works. bullish.,positive,bullish,positive
$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,positive,"Neutral (the mention of ""marriage"" seems out-of-place in the context)",invalid
