text,label,prediction
"annoyed ,",Normal,"Annoyed

Normal"
Tired. That's the first drop. Sorry Ricky..,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""That's the first drop"" might indicate feeling overwhelmed or hopeless, which are common in depression. However, without more context, it's challenging to make a clear diagnosis. Given the limited information, I would lean towards:

Depression"
mmekkkkkkk angry pen,Normal,"Angry

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal

Depression

Normal"
crying dreamis?,Normal,"Crying suggests a negative emotional state, but the brevity and the question mark make it less clear-cut. 

Depression

(Note: The actual sentiment analysis might require more context, but based on the given text, ""crying"" is often associated with depression.)"
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However, it's important to note that persistent feelings of tiredness could indicate underlying issues that might require attention."
"Oh god, lazy to go to the kitchen",Normal,"Lazy

Classification: Normal

Note: While the sentiment expressed is somewhat negative and could be associated with depression, the statement alone is not strongly indicative of depression. It could simply reflect a day where the person lacks motivation to do a simple task. More context would be needed for a more accurate assessment."
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""aren't you?"" suggests a sense of shared experience or possibly hope for validation, which could indicate a range of emotions rather than clinical depression. Without more context, it leans towards:

Normal"
Oh very. Tired right.,Normal,"Tired

Normal

(Note: While the sentiment expressed is primarily tiredness, which can be a symptom of depression, the brevity and lack of more severe depressive indicators suggest it's more likely just feeling tired rather than indicative of depression. However, persistent feelings of tiredness can be associated with depression, so monitoring for other symptoms is advised.)"
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness
Sad can't do mani pedi ²,Normal,Sadness
panic,Normal,"Panic is often associated with feelings of intense anxiety or fear. Given the context, the sentiment here seems to lean towards a state of distress rather than normalcy.

Depression

However, since you asked for a single word classification and ""Depression"" might be too broad, a more fitting single-word response would be:

Panic"
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness
/. crazy i just woke up,Normal,"Crazy

Normal

(Note: The text is brief and could be interpreted in multiple ways, but given the context and brevity, it leans more towards a casual expression rather than indicative of depression.)"
"I just woke up but I'm tired, what's the sign?",Normal,"Tiredness

Depression"
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed
I'm so bored rei doesn't wake up Â²,Normal,"Boredom
Depression"
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, we should consider it could also reflect a busy schedule or fatigue from other causes. However, the tone suggests a lack of energy early in the day which might indicate something more. 

Depression
Normal"
"Yes, I'm frustrated with these 3 small ones, I'm tired",Normal,Frustration
A bit pessimistic actually hehe,Normal,"Pessimistic

Normal

Note: While the sentiment is slightly pessimistic, it includes a light-hearted ""hehe,"" which suggests the writer is not deeply depressed but perhaps just having a down moment."
STRESSS SONG,Normal,Stress
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom
It's so annoying!! !,Normal,Annoyed
OH MY GOD FEAR CANCEL,Normal,Fear
Drowsykkkkkkkk arhhhhhhhh,Normal,"Drowsy

Normal

(Note: While the text shows signs of fatigue or drowsiness, which could be related to depression, the sentiment alone is not sufficient to definitively classify it as depression without more context. However, given the limited information and focusing strictly on the provided options, ""Normal"" seems more appropriate as there's no clear indication of severe depressive symptoms.)"
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,"Tired

Depression

The post shows signs of fatigue and possibly frustration, which could indicate depression. However, without more context, it's important to note that feeling tired can also be normal. Given the repetition and exclamation, it leans towards expressing more than just normal tiredness."
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused
I'm jealous of people who have started their day off today,Normal,"Jealousy can be a normal emotion, but in this context, it might indicate a sense of envy or dissatisfaction that could be associated with depression. Given the limited information, I would classify this as:

Depression"
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a normal emotional response to stress or anxiety. Without more context, it's difficult to determine if this is indicative of depression. However, based on the instruction to classify as either Normal or Depression and given the brevity of the post, I would classify it as:

Normal"
Tired eh tired,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned twice and seems to emphasize the feeling, it's a common and normal sentiment. Without more context, it doesn't strongly indicate depression.)"
"when is this guy on vacation, I'm so tired",Normal,"Tiredness doesn't necessarily indicate depression, but the context is limited. Normal"
Wkakakabak gabut,Normal,"Gabut is an Indonesian term that generally means feeling bored or having nothing to do. Given the context and the lack of any clear indicators of distress or negative sentiment, this can be classified as:

Normal"
oh my god it's stressful,Normal,Stressful
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal"
"tired, just opened twt, mahen is still buzzing on tl",Normal,"Tired

Normal

The sentiment appears to be normal tiredness rather than indicative of depression."
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests resignation or acceptance. Given the context, it leans more towards a normal sentiment rather than depression. 

Normal"
I'm just angry,Normal,"Anger can be a normal emotion, but in this context, it might indicate a more persistent state of depression if it's the predominant emotion. Given the brevity and the focus on anger, I would classify it as:

Depression"
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity, we cannot make a definitive diagnosis. However, if this is a recurring theme, it might be worth considering further. 

Classification: Normal

Sentiment: Tired"
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stressed
I'm stressed about this law school '†,Normal,Stressed
"Panic! Still in the stomach, there's already a lot of behavior",Normal,"Panic

Depression

Normal

Classification: Panic

Given the text, it seems to express feelings of anxiety and distress, which align more closely with panic rather than depression or normal sentiment. However, the context is limited, and without more information, it's challenging to definitively classify it. If you need a binary choice between Depression and Normal, based on the provided options and the intensity of the expressed emotion, ""Panic"" might be more fitting, but it leans towards a state of heightened anxiety rather than depression."
confused what to do,Normal,"Confused

Normal

(Note: While the text expresses confusion, which can be a sign of stress or uncertainty, it doesn't strongly indicate depression. However, if this is part of a larger pattern of posts, further context might be needed for an accurate assessment.)"
I'm getting more and more stressed ™ƒ,Normal,Stress
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" could indicate a sense of resignation or hopelessness. Given the context, the sentiment leans towards:

Depression"
"very heavy dog, I'm tired",Normal,"Tiredness can be a symptom of depression, but this post is brief and doesn't provide enough context to make a definitive diagnosis. Given the information, it could be interpreted as normal fatigue or part of a depressive state. 

Depression

(Note: For accurate mental health assessment, professional consultation is recommended.)"
"No matter if you are here because you have depression or you just want to help other depressive people, I wanted to give you a hug and tell you, do not ever give up. I know you can achieve a slighty better future or even a perfect one, never give up Keep on trying to achieve something bigger, I am proud of you for trying! Just wanted to say this",Depression,Proud
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive
"After dwelling inside and not leaving my house for over 3 weeks, I went out walking at this nice summer night, and as I got home, I felt incredible euphoria, peaking around a few minutes ago and slowly fading away now. All of the loneliness and anxieties and pain are about 80% decreased and I am actually filled with a feeling of motivation and momentum, something I have not felt in a very long time. This is honestly the happiest I have been this entire year I believe. I just got high from a walk outside.",Depression,"Euphoria

Classification: Normal

Note: While the sentiment expressed is euphoric and positive, the mention of substance use (""I just got high from a walk outside"") is concerning and could indicate self-medication or other issues. However, based solely on the emotional content of the post, it does not strongly suggest depression."
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hopeful
"Or rather apathetic, really. Like, I am not happy, but I am not sad. I do not know... it feels strange. I just have no concern over anything, and generally I am fine for the most part. Has anybody been feeling like this? Recently been feeling neutral",Depression,Apathetic
"I am stressing out bc I bought Going medieval on g2a and I saw that the reviews were pretty bad.. I have all these random games in my library that I do not want ruining the quality of my steam library. I do not want to delete the game though, but Id rather pay full price on steam than buy from this website again! I accidentally bought a game via g2a and cannot get a refund..",Depression,Stress
"Therapy for 3 years.Anitdepresantas for 1y.All that i learned that i do not want to be optimistic. I just cannot help but to consider optimism naive. I tried to be a happy person but it just felt like i am delaying the inevitable. Maybe i am depressed, maybe there is no help for me or maybe i do not want to get better. Who knows.I am just tired of trying.So i will live out my days and die.that is where we are all going anyways.English second language sry for grammar I am not depressed , I am just pessimistic.",Depression,Pessimistic
"I have always been prone to catastrophizing and only ever anticipating the worst. Last year, I had attempted suicide and wound up in a coma for two days. But lately, I have been feeling like I cannot understand why I would do that. I am excited about where life can take me and when I deal with something tough I feel this trust that it will resolve itself. I have been raised within a fundamental Christian household and been taught that only people with faith can achieve such a mindset and religion has always made me unhappy and that inadvertently felt guilt for that. I was in an unhealthy relationship back then and I felt like I really did not know who I was outside of that relationship. I have always wanted that mans validation and he dumped I remember hurting but since that relationship ended I have been making connections that have made me feel whole and I have come to accept that people come and go and I am completely okay with that. It felt like the past years have been completely traumatic and strangely enough I have been thinking about changing my name because I feel like my birth name is loaded with so much trauma I want treat that person like its someone else. I have been feeling this way more recently, I do not want my trauma to influence my decision, I just want to experience life as a new person. Is it optimism or denial",Depression,Optimism
"he might relax, but it makes me nervous.",Normal,"Nervousness
Depression"
"i'm tired,",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal"
"@thesouthernstar ochie, kmaren nervous ya pas TU? Kliatan tau, pas aku dtg aku ngeliat ochie lg maen2in tisu sampe tisu'y lecek..",Normal,Nervous
last night i got high and drunk same time wow what a night but i wa alone usually i get really in my head when high and more depressed but i think the alcohol countered that anyway whats weird is i ve woken up today in a super positive mood my life situation ha not changed but i just see it differently i m alright with where i m at positive that i ll get where i need to i feel really optimistic and i m worried cause this is so sooo rare to me i m scared it will go away i haven t felt this happy in year but it s made me realise that happiness is not the absence of problem but it s the state of mind you have about your problem,Depression,Positive
yeah so i got an job interview tomorrow and im pretty anxious about it ha anyone got some advice on how to prepare for it it should be good tho it just that im not sure if i will like it and im afraid to have no small talk topic with the employer yk that it gon na be awkward and shit,Depression,Anxiety
idk who need to hear this but im really proud of you and you should be of yourself too recently i said that to someone and she said i m proud of myself too and idk how to explain you guy but it really blown my mind like i take myself for granted but we need to understand how much we are doing and living despite having this anxiety i wasn t able to tell my friend about my struggle because im not strong enough to let the people in my life know of my struggle but still i feel proud of myself yes it get messy but we are doing our best and should be proud of ourselves,Depression,"Proud

Classification: Normal

The text expresses pride and self-appreciation despite struggles with anxiety, which does not indicate depression. The writer acknowledges their efforts and is proud of themselves, which is a positive sentiment."
so i had a doctor s appointment on a school day and i wa so anxious about missing day of school i wa cry because i would miss stuff that day and wa anxious about being behind on my work because my grade are expected to stay the same and not drop is this anxiety or just pressure put on me,Depression,Anxiety
im so tired,Depression,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal"
i m sooo sad they killed off kutner on house whyyyyyyyy,Normal,Sadness
is pissed off that there s no asba s for a radio station,Normal,"Pissed
Normal
Note: While the sentiment expressed is negative, it does not strongly indicate depression. The statement is more about frustration or anger over a specific situation rather than indicative of a broader depressive state."
just watched tropic thunder dreading tomorrow,Normal,Dreading
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof http tinyurl com ceprvs,Normal,"Annoyed

Depression"
i should be sleeping i have a stressed out week coming to me,Normal,Stressed
is at beso in hollywood so tired,Normal,"Tiredness doesn't necessarily indicate depression, but the context seems to be more about fatigue than a deeper emotional state. 

Normal"
carmonium i m stressed outttt,Normal,Stressed
wtf not kutner oh i m so pissed house i mean really wtf,Normal,Pissed
contactabe i m so jealous i missed all of opening day this year,Normal,"Jealousy

Classification: Normal"
aww this earthquake in italy ha made me sad just saw the pic on the news it s terrible,Normal,Sadness
sad about kutner being killed off my fav show house,Normal,Sadness
got highly bored today scanning page for daddy had to do it,Normal,"Boredom
Normal"
can t believe cutner is dead on house sad day in santa rosa ca http loopt u orpl a,Normal,"Sadness

Classification: Normal

Note: While the post expresses sadness about a specific event, it doesn't strongly indicate depression. However, without more context, it's challenging to definitively classify it. If you need a binary classification between Normal and Depression based solely on this text, ""Normal"" would be the more appropriate choice."
j stricko i found it pretty frustrating stupid monkey,Normal,Frustration
and they advertising fake louis bag a 00 authentic on google i m pissed,Normal,"Pissed

Classification: Normal

Note: While the sentiment expressed is clearly negative (pissed), the language used does not strongly indicate depression. It appears to be more about frustration with advertising."
i am bored nothing to do,Normal,"Boredom
Depression"
this break my heart navy seal marcus luttrell s doggy http www rightpundits com p 9 i am filled with rage,Normal,"Rage

Depression

Normal

Depression

The text expresses intense negative emotions (rage) which can be associated with depression. However, the intensity and specific nature of the emotion could also indicate a strong reaction to a specific event rather than clinical depression. Given the context, it leans more towards reflecting depressive symptoms."
i am soooo tired work,Normal,"Tiredness can be a symptom of depression, but this post alone is more indicative of general fatigue. 

Normal"
sitting at home and im very bored keep hearing really weird noise downstairs kinda creepy,Normal,"Boredom

Depression

The text shows signs of both boredom and a hint of anxiety or unease, which can sometimes be associated with depressive states. However, without more context, it's best to classify it as reflecting a mix of normal feelings (boredom) and potentially depressive symptoms (anxiety about strange noises). If forced to choose one, ""Depression"" might be slightly more appropriate due to the mention of the creepy noises."
tired but cant sleep,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the common nature of the statement, I would classify it as:

Normal"
home mc bored missing him who him sigh im bored tadi exam amp wa okay thursday lagi exam gaaaaaaaaaaaaaahhh,Normal,"Bored
Depression"
in work sooo bored,Normal,"Boredom can be a normal feeling, but in this context, it might indicate a need for engagement or stimulation. Given the extreme use of ""sooo,"" it could suggest a stronger than usual feeling of boredom. 

Normal"
bored from doing homework what is pingping doing,Normal,"Boredom can sometimes be an indicator of depression, but this post alone isn't strongly indicative of depression. The sentiment here is more towards boredom and curiosity about others' activities. 

Normal"
devakishor oh oh that s sad,Normal,Sadness
it s so boring,Normal,"Boredom can be a normal emotion, but in this context, it could also be an indicator of depression. Given the brevity and the tone, I would classify it as:

Depression"
gosh it t 9 9 am and i am soooo tired quot yawn quot i want to go back to sleep but i can t,Normal,"Tired

Depression"
cufa getting lot of dentist time myself at the moment very stressfull and sore take it nice and easy for the rest of the day,Normal,Stressful
gloomy weather again,Normal,Gloomy
masha is alone and sad http apps facebook com catbook profile view 0 0,Normal,"Sadness

Depression

Note: While the sentiment expressed is sadness, which can be associated with depression, the text does not provide enough context to definitively diagnose depression. However, given the options and the content, ""Sadness"" is more appropriate for a brief classification."
honeymunchkin my anger is getting bigger for every minute that go by i got some uglycomments on one of my video,Normal,Anger
hermes packetdienst suck,Normal,Negative
sitting at home watching jeremy kyle and bored,Normal,"Bored

Classification: Normal

Note: While the sentiment expressed is boredom, which isn't necessarily indicative of depression, the statement itself doesn't strongly suggest depression. However, persistent feelings of boredom or lack of interest in activities one usually enjoys could be a sign of depression."
hubby ha such a tight scedule for u during easter vaca that it stressing me out visit all over denmark in day,Normal,Stress
i m so damn tired today actually i need to take a nap when i m at home but there s no time,Normal,Tiredness
just woke up tiresome time,Normal,"Tiresome

Normal

(Note: While ""tiresome"" indicates a negative feeling, it doesn't necessarily indicate depression. It could simply mean the person is feeling fatigued after a long day or poor sleep.)"
is frustrated that rudd cant facilitate private enterprise investing in our broadband infrastructure instead he need to waste our money,Normal,Frustrated
bored in tec,Normal,"Boredom can be a symptom of depression, but it can also be a normal emotion. Without more context, it's difficult to determine if this is indicative of depression. However, since the task is to classify it as either Normal or Depression, and considering the brevity and the use of ""bored"" which can sometimes indicate a lack of engagement or motivation, I would lean towards:

Depression"
chrisdjmoyles didnt get ticket live in mk gutted xx,Normal,"Gutted suggests disappointment rather than depression. 

Normal"
work is dragging pretty tired only got about and a half hour sleep,Normal,"Tiredness

Depression"
pissed coz a friend is to busy to see me day,Normal,"Pissed

Depression

Normal

Depression"
pissed coz a friend is too busy to see me day,Normal,"Pissed

Depression

Normal

Depression"
hi twiitters i ammm sooooo tired right nowwww falling asleep on msn i am thinking a le lazy day today p xx,Normal,"Tired

Classification: Normal

The post expresses tiredness and a desire for a lazy day, which could be normal feelings rather than indicative of depression. However, if this is an isolated instance and considering the context of social media posts, it might not fully capture the overall mental state. But based on the given text alone, it leans more towards a normal expression of fatigue."
i am really tired but cant go to sleep,Normal,Tiredness
http twitpic com y i miss thiss,Normal,"Missed
Classification: Normal"
so bored still no internet at home,Normal,"Boredom
Depression"
