model_family,model_root,personality,pair,dataset,run,source_file,base_shift,tuned_shift,delta_shift,shift_dir,base_f1,tuned_f1,delta_f1,f1_dir,is_complete,warning
L3,llama-3b_newlayout,E,energy,imdb,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.072,-0.0484,0.0236,1,0.927965996498,0.9322557101,0.00428971360238,1,true,
L3,llama-3b_newlayout,E,energy,imdb_sklearn,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.0632,-0.0412,0.022,1,0.933544879465,0.937376083131,0.00383120366601,1,true,
L3,llama-3b_newlayout,E,energy,sst2,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.1722,-0.0789,0.0933,1,0.829650405547,0.870966124766,0.0413157192188,1,true,
L3,llama-3b_newlayout,E,energy,fiqasa,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.299232736573,0.0272804774084,0.326513213981,1,0.459891555267,0.59515785526,0.135266299993,1,true,
L3,llama-3b_newlayout,E,energy,news,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,0.199983236946,0.283253708826,0.08327047188,1,0.60449632104,0.5206305283,-0.0838657927398,-1,true,
L3,llama-3b_newlayout,E,energy,mental,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.710019844395,-0.626185151353,0.0838346930419,1,0.548188051429,0.59476324562,0.0465751941914,1,true,
L3,llama-3b_newlayout,I,energy,imdb,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.072,-0.0948,-0.0228,-1,0.927965996498,0.920310314928,-0.00765568156954,-1,true,
L3,llama-3b_newlayout,I,energy,imdb_sklearn,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.0632,-0.0754,-0.0122,-1,0.933544879465,0.930009364594,-0.00353551487063,-1,true,
L3,llama-3b_newlayout,I,energy,sst2,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.1722,-0.2328,-0.0606,-1,0.829650405547,0.798588452546,-0.0310619530016,-1,true,
L3,llama-3b_newlayout,I,energy,fiqasa,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.299232736573,-0.31031543052,-0.0110826939471,-1,0.459891555267,0.470285018357,0.01039346309,1,true,
L3,llama-3b_newlayout,I,energy,news,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,0.199983236946,0.0260665493253,-0.17391668762,-1,0.60449632104,0.649429228662,0.0449329076222,1,true,
L3,llama-3b_newlayout,I,energy,mental,avg,llama-3b_newlayout/energy/summaries/sentiment.csv,-0.710019844395,-0.778057769238,-0.0680379248433,-1,0.548188051429,0.498371155179,-0.0498168962505,-1,true,
L3,llama-3b_newlayout,S,information,imdb,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.072,-0.12735,-0.05535,-1,0.927965996498,0.912323970739,-0.0156420257583,-1,true,
L3,llama-3b_newlayout,S,information,imdb_sklearn,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.0632,-0.1304,-0.0672,-1,0.933544879465,0.912860315032,-0.0206845644329,-1,true,
L3,llama-3b_newlayout,S,information,sst2,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.1722,-0.3576,-0.1854,-1,0.829650405547,0.756894055204,-0.0727563503437,-1,true,
L3,llama-3b_newlayout,S,information,fiqasa,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.299232736573,-0.333759590793,-0.0345268542199,-1,0.459891555267,0.500420648026,0.0405290927593,1,true,
L3,llama-3b_newlayout,S,information,news,avg,llama-3b_newlayout/information/summaries/sentiment.csv,0.199983236946,0.0256893806051,-0.174293856341,-1,0.60449632104,0.607486408404,0.0029900873641,1,true,
L3,llama-3b_newlayout,S,information,mental,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.710019844395,-0.682458185025,0.0275616593694,1,0.548188051429,0.577982347468,0.0297942960386,1,true,
L3,llama-3b_newlayout,N,information,imdb,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.072,-0.0468,0.0252,1,0.927965996498,0.924852007769,-0.00311398872876,-1,true,
L3,llama-3b_newlayout,N,information,imdb_sklearn,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.0632,-0.0335,0.0297,1,0.933544879465,0.934233106898,0.000688227433097,1,true,
L3,llama-3b_newlayout,N,information,sst2,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.1722,-0.0969,0.0753,1,0.829650405547,0.832230637374,0.00258023182617,1,true,
L3,llama-3b_newlayout,N,information,fiqasa,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.299232736573,-0.222506393862,0.076726342711,1,0.459891555267,0.48545726963,0.0255657143632,1,true,
L3,llama-3b_newlayout,N,information,news,avg,llama-3b_newlayout/information/summaries/sentiment.csv,0.199983236946,0.392674545302,0.192691308356,1,0.60449632104,0.516815047484,-0.0876812735556,-1,true,
L3,llama-3b_newlayout,N,information,mental,avg,llama-3b_newlayout/information/summaries/sentiment.csv,-0.710019844395,-0.800107096734,-0.0900872523388,-1,0.548188051429,0.488780581969,-0.0594074694603,-1,true,
L3,llama-3b_newlayout,F,decision,imdb,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.072,-0.0304,0.0416,1,0.927965996498,0.934257471715,0.00629147521712,1,true,
L3,llama-3b_newlayout,F,decision,imdb_sklearn,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.0632,-0.0354,0.0278,1,0.933544879465,0.935585375847,0.00204049638229,1,true,
L3,llama-3b_newlayout,F,decision,sst2,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.1722,-0.0313,0.1409,1,0.829650405547,0.877331111353,0.0476807058052,1,true,
L3,llama-3b_newlayout,F,decision,fiqasa,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.299232736573,-0.0639386189258,0.235294117647,1,0.459891555267,0.555449492253,0.0955579369868,1,true,
L3,llama-3b_newlayout,F,decision,news,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,0.199983236946,0.206353197553,0.00636996060682,1,0.60449632104,0.555173766477,-0.0493225545625,-1,true,
L3,llama-3b_newlayout,F,decision,mental,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.710019844395,-0.800831574637,-0.0908117302422,-1,0.548188051429,0.485370635816,-0.0628174156129,-1,true,
L3,llama-3b_newlayout,T,decision,imdb,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.072,-0.1413,-0.0693,-1,0.927965996498,0.902021278095,-0.0259447184033,-1,true,
L3,llama-3b_newlayout,T,decision,imdb_sklearn,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.0632,-0.1547,-0.0915,-1,0.933544879465,0.902706876664,-0.0308380028004,-1,true,
L3,llama-3b_newlayout,T,decision,sst2,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.1722,-0.33905,-0.16685,-1,0.829650405547,0.735568145247,-0.0940822602999,-1,true,
L3,llama-3b_newlayout,T,decision,fiqasa,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.299232736573,-0.399403239557,-0.100170502984,-1,0.459891555267,0.389700667826,-0.0701908874409,-1,true,
L3,llama-3b_newlayout,T,decision,news,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,0.199983236946,0.11629368871,-0.0836895482357,-1,0.60449632104,0.64942560806,0.0449292870205,1,true,
L3,llama-3b_newlayout,T,decision,mental,avg,llama-3b_newlayout/decision/summaries/sentiment.csv,-0.710019844395,-0.721453995653,-0.0114341512584,-1,0.548188051429,0.544069320237,-0.00411873119183,-1,true,
L3,llama-3b_newlayout,J,execution,imdb,avg,llama-3b_newlayout/execution/summaries/sentiment.csv,-0.072,-0.0849,-0.0129,-1,0.927965996498,0.923623038332,-0.00434295816551,-1,true,
L3,llama-3b_newlayout,J,execution,imdb_sklearn,avg,llama-3b_newlayout/execution/summaries/sentiment.csv,-0.0632,-0.06945,-0.00625,-1,0.933544879465,0.933597109755,5.2230290398e-05,1,true,
L3,llama-3b_newlayout,J,execution,sst2,avg,llama-3b_newlayout/execution/summaries/sentiment.csv,-0.1722,-0.24725,-0.07505,-1,0.829650405547,0.80506209929,-0.0245883062573,-1,true,
L3,llama-3b_newlayout,J,execution,fiqasa,avg,llama-3b_newlayout/execution/summaries/sentiment.csv,-0.299232736573,-0.178175618073,0.1210571185,1,0.459891555267,0.53985902094,0.079967465673,1,true,
L3,llama-3b_newlayout,J,execution,news,avg,llama-3b_newlayout/execution/summaries/sentiment.csv,0.199983236946,0.132889112396,-0.0670941245495,-1,0.60449632104,0.594446132252,-0.0100501887877,-1,true,
