text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
Tired. That's the first drop. Sorry Ricky..,Normal,"Tiredness can be an indicator, but without more context, it could also just be a temporary feeling. However, considering the phrase ""the first drop"" and ""Sorry Ricky.."" might suggest something more profound. 

Depression.",mixed
mmekkkkkkk angry pen,Normal,Anger,invalid
crying dreamis?,Normal,"Crying suggests a negative emotional state, but the brevity and the question mark make it less clear. 

Depression
Normal",mixed
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this post is quite brief. Without more context, it could also just indicate general fatigue. Given the limited information, I would lean towards:

Normal

However, if this were part of a larger pattern of posts, it might warrant closer attention.",invalid
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Normal",mixed
Oh very. Tired right.,Normal,"Tiredness can be a symptom of depression, but this post is quite brief and doesn't provide enough context to make a definitive diagnosis. Given the limited information, I would lean more towards:

Normal

However, it's important to note that persistent feelings of tiredness could be an indicator of depression if it continues over time.",invalid
"Happy Mother's Day to my mother, your mother and our future mothers. Eh",Normal,"Eh

Normal",invalid
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxiety,normal
"Tired.. really.. really, tired! Don't want to give it up..",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the context, the sentiment could suggest feelings of hopelessness or lack of motivation. 

Depression",mixed
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness,depression
Sad can't do mani pedi ²,Normal,Sadness,depression
panic,Normal,"Panic

Depression
Normal",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sad,depression
"When do I go to church?? I'm confused, confused...",Normal,Confused,invalid
confused what to do. just read it sometime,Normal,Confused,invalid
/. crazy i just woke up,Normal,Crazy,invalid
I don't know this...??,Normal,Uncertain,invalid
I'm tired of being there,Normal,Tiredness,invalid
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed,normal
I'm so bored rei doesn't wake up Â²,Normal,Boredom,normal
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, we should consider it might just be fatigue or a general feeling rather than indicative of depression. 

Normal",mixed
"Yes, I'm frustrated with these 3 small ones, I'm tired",Normal,Frustration,normal
A bit pessimistic actually hehe,Normal,Pessimistic,mixed
"Ya Allah, all my grades are out, I'm really scared",Normal,"Scared

Depression

Note: While the sentiment expressed is fear/scared, which can be associated with anxiety rather than depression, the mention of fear about grades could indicate stress or anxiety, which might be part of a broader pattern of depressive symptoms. However, based on the provided text alone, ""Scared"" is more directly applicable. If this were part of a larger context or if such sentiments are frequent, it might warrant further attention for potential depression.",mixed
STRESSS SONG,Normal,Stress,normal
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom,normal
It's so annoying!! !,Normal,Annoyed,normal
OH MY GOD FEAR CANCEL,Normal,Fear,invalid
Drowsykkkkkkkk arhhhhhhhh,Normal,Drowsy,invalid
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,"Tired

Depression: Normal",mixed
It's only 10:30 but I feel like breaking fast ðŸ˜ Tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the context, it could also be normal fatigue. However, the mention of feeling like ""breaking fast"" at 10:30 PM suggests a disruption in routine that might indicate depression. 

Depression

(Note: The classification is made based on the given text and common indicators, but professional assessment is recommended for accurate diagnosis.)",mixed
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused,invalid
I'm jealous of people who have started their day off today,Normal,"Jealousy can be a normal emotion, but in this context, it might indicate a sense of missing out or dissatisfaction which could be associated with depression. Given the limited information, I would lean towards:

Depression",mixed
just woke up... confused,Normal,"Confused

Normal",invalid
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a temporary emotional state. Given the brevity and lack of additional context, I would classify this as:

Normal",invalid
"Most furious to choose food randomly near grab 30 min looking for it, then it's closed like it doesn't work because it's fed up. then reopen another 30 mins.",Normal,Frustration,invalid
Tired eh tired,Normal,Tired,normal
"when is this guy on vacation, I'm so tired",Normal,"Tiredness doesn't necessarily indicate depression, but the context is limited. Normal",mixed
Wkakakabak gabut,Normal,"Gabut is an Indonesian term that can mean feeling bored or lonely. Without more context, it's challenging to definitively classify this as indicative of depression, but it does suggest a low-energy or unengaged state. 

Depression: Normal",invalid
oh my god it's stressful,Normal,Stressful,normal
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also indicate general fatigue. 

Normal",mixed
"tired, just opened twt, mahen is still buzzing on tl",Normal,Tired,normal
hhhhh insecure again...ðŸ˜”ðŸ˜¿,Normal,Insecure,invalid
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia,neutral
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests acceptance. Given the context, I would classify it as:

Normal",mixed
"where are we, I'm sad this morning",Normal,Sadness,depression
I'm just angry,Normal,Anger,invalid
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be due to many other factors. Given the brevity, it's not conclusive. 

Normal",invalid
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stressed,normal
Wait a minute..... so tired why is this again gosh,Normal,Tiredness,invalid
I'm stressed about this law school '†,Normal,Stressed,normal
"Panic! Still in the stomach, there's already a lot of behavior",Normal,Panic,invalid
confused what to do,Normal,Confused,invalid
I'm getting more and more stressed ™ƒ,Normal,Stress,normal
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired,normal
Tired of waiting until 11.00 ' until home pst at 12.00,Normal,Tiredness,invalid
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" might suggest a sense of resignation or lack of motivation. Given the context, the sentiment leans towards:

Depression",mixed
COMO Q JYP RIP???,Normal,Sadness,depression
"very heavy dog, I'm tired",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the use of ""very heavy,"" which could indicate feeling weighed down, the classification leans towards:

Depression",depression
Where are you so adamant I'm so embarrassed 'ŽðŸ˜¡ðŸ˜¡,Normal,Embarrassment,invalid
