text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
mmekkkkkkk angry pen,Normal,"Angry

Depression

Normal

The text appears to express anger rather than clear signs of depression. However, the repetitive use of 'm' and 'k' might indicate frustration or emotional distress, which could be associated with mild depressive symptoms. Given the limited context, ""Angry"" seems more accurate. If more context were available, it might be classified as reflecting mild emotional distress.",invalid
for the angst AU wp banginho/chanmin,Normal,Angst,invalid
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However, it's important to note that persistent feelings of tiredness or other similar sentiments might warrant further attention and support.",invalid
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""aren't you?"" suggests a sense of shared experience or possibly hope for validation, which could indicate a normal emotional state. 

Normal",mixed
Oh very. Tired right.,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However,持续关注用户的后续帖子和行为变化更为重要，以便更准确地评估其心理健康状态。",invalid
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxious,normal
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,"Sadness
Normal",mixed
panic,Normal,"Panic is a symptom often associated with depression or anxiety, but based on the single word provided, the sentiment leans more towards an acute emotional state rather than a chronic one. 

Depression

(Note: For a more accurate diagnosis, context and multiple data points would be necessary.)",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness,depression
/. crazy i just woke up,Normal,"Crazy

Depression

Normal

The text suggests confusion or disorientation rather than clear signs of depression or normalcy. However, in the context of classification between Depression and Normal, the sentiment leans more towards:

Depression

This is because the use of ""crazy"" and the fragmented sentence structure might indicate confusion or distress, which can be associated with depressive states.",depression
"I just woke up but I'm tired, what's the sign?",Normal,"Tiredness

Depression",mixed
