text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
Tired. That's the first drop. Sorry Ricky..,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned in the text, the overall sentiment doesn't strongly indicate depression. It's a common feeling that can be normal.)",normal
mmekkkkkkk angry pen,Normal,"Angry

Normal

(Note: The text appears to be a mix of random letters and an emotion, but without context, it's difficult to definitively classify. However, based on the single word provided, ""angry"" is more aligned with a normal emotional state rather than depression.)",invalid
Last night I forgot to cook rice when the siren sounded. Panic huh? Panic huh? Panic WON'T COOK,Normal,"Panic

Depression

The repetition and capitalization of ""Panic"" suggest a heightened state of anxiety or distress, which can be associated with depression. However, the immediate sentiment expressed is one of panic. Given the options, ""Panic"" is more directly applicable to the immediate emotional state described in the post.",mixed
crying dreamis?,Normal,"Crying

Depression",depression
why is this so nauseous,Normal,"Nauseous

Depression

Note: The text ""why is this so nauseous"" could indicate physical discomfort, but it can also sometimes be associated with feelings of nausea that can accompany depression. However, based on the given text alone, the primary classification would be ""Nauseous."" If we are to strictly classify it in terms of mental state, it could reflect early signs of depression.",invalid
I'm tired asu,Normal,"Tired

Normal

Note: The phrase ""asu"" seems to be a typo or an abbreviation for ""as usual,"" which doesn't provide enough context to definitively classify this as depression. The primary sentiment here is just feeling tired, which can be normal.",normal
"Oh god, lazy to go to the kitchen",Normal,"Lazy

Classification: Normal

Note: While the statement shows a lack of motivation, which can sometimes be associated with depression, the statement is quite mild and could simply indicate a bad day or a casual description of feeling tired. Without more context, it's best to classify it as normal.",invalid
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
"I'm so tired, aren't you?",Normal,"Tired

Classification: Normal

Note: While feeling tired can be a symptom of depression, the statement is quite general and could simply indicate fatigue without necessarily reflecting depression. However, since the task is to classify based on the given options, ""Normal"" is chosen over ""Depression.""",invalid
Oh very. Tired right.,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned in the text, the classification is based on overall sentiment which appears to be normal fatigue rather than depression.)",normal
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxious,normal
"Tired.. really.. really, tired! Don't want to give it up..",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""Don't want to give it up.."" could indicate resignation or hopelessness. 

Depression

(Note: For accurate diagnosis, professional evaluation is necessary.)",mixed
just woke up.. keep dizzy ”,Normal,"Dizziness alone can be normal, but in the context of a depressed state, it could indicate physical symptoms of depression. Given the briefness and the specific mention of dizziness upon waking, I would classify this as:

Depression",depression
Tired of not having a day off :(,Normal,"Tiredness

Depression

The sentiment suggests a feeling of fatigue and lack of motivation, which can be associated with depression. However, without more context, it could also just indicate general tiredness. Given the use of a sad face emoticon, it leans more towards a depressive sentiment.",mixed
Sad can't do mani pedi ²,Normal,Sadness,depression
panic,Normal,"Panic

Normal

Note: While ""panic"" can indicate a distressing emotional state, it doesn't necessarily mean the person is in a state of depression. It could be a temporary reaction to a stressful situation. However, based on the given options, I classified it under 'Normal' as it's a brief term and not indicative of a prolonged depressive state.",invalid
Ya kahar ¡ðŸ˜¡ðŸ˜¡ #FreeQuds,Normal,"Kahar is a Urdu/Pashto word meaning anger or frustration. Given the context and the use of sad emojis, the sentiment seems to lean towards depression. 

Depression",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sad,depression
