text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
Tired. That's the first drop. Sorry Ricky..,Normal,"Tiredness can sometimes be an early sign of depression, but this alone is not definitive. Given the context, the sentiment leans towards:

Depression",mixed
mmekkkkkkk angry pen,Normal,Anger,invalid
for the angst AU wp banginho/chanmin,Normal,Angst,invalid
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the use of an emoticon-like abbreviation ""asu"" which could mean ""as usual,"" it might indicate a more generalized feeling rather than clinical depression. 

Normal",normal
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the question format, it could also indicate seeking validation or simply feeling overwhelmed. 

Depression
Normal",mixed
Oh very. Tired right.,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However, it's important to note that a single post may not fully capture the complexity of someone's mental state.",invalid
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxiety,normal
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness,depression
panic,Normal,"Panic

Depression
Normal",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness,depression
/. crazy i just woke up,Normal,Crazy,invalid
"I just woke up but I'm tired, what's the sign?",Normal,"Tiredness

Depression",mixed
I don't know this...??,Normal,Uncertain,invalid
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed,normal
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, we should be cautious. 

Normal",invalid
A bit pessimistic actually hehe,Normal,Pessimistic,mixed
STRESSS SONG,Normal,Stress,normal
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom,invalid
It's so annoying!! !,Normal,Annoyed,normal
Drowsykkkkkkkk arhhhhhhhh,Normal,Drowsy,invalid
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,Tiredness,invalid
JY!P3 CHINGA TU MADRE,Normal,Anger,invalid
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused,invalid
I'm jealous of people who have started their day off today,Normal,"Jealousy can be a normal emotion, but in the context of a depressive state, feelings of envy or jealousy about others' situations can be more pronounced and persistent. Given the limited information, this alone might not definitively indicate depression, but it leans towards a potential indicator. 

Depression
(Note: For a definitive diagnosis, professional evaluation is necessary.)",mixed
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a normal emotional response to stress or anxiety. Without more context, it's difficult to definitively classify this as indicative of depression. However, if we must choose based on the term alone:

Depression",mixed
Tired eh tired,Normal,Tired,normal
"when is this guy on vacation, I'm so tired",Normal,"Tiredness does not necessarily indicate depression, but the context is limited. Normal",mixed
oh my god it's stressful,Normal,Stressful,normal
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal",mixed
"tired, just opened twt, mahen is still buzzing on tl",Normal,Tired,normal
hhhhh insecure again...ðŸ˜”ðŸ˜¿,Normal,Insecure,invalid
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia,normal
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests acceptance. Given the context, it leans more towards a normal response to fatigue rather than indicative of depression. 

Normal",normal
"en! psrn bene only aladdin how much huh? want to sell, I'm confused, how much is the price",Normal,Confused,invalid
I'm just angry,Normal,Anger,invalid
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity, we cannot make a definitive classification. However, if we must choose based on the provided options:

Normal",invalid
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stress,normal
I'm stressed about this law school '†,Normal,Stress,normal
WOI SHOCKED TO SEE JK KEK GTðŸ˜,Normal,Shock,invalid
"Panic! Still in the stomach, there's already a lot of behavior",Normal,"Panic

Depression

Normal

Classification: Panic

Given the text, it seems to express a sense of ongoing and possibly escalating anxiety or panic, rather than a clear indication of depression or normalcy. However, since the task is to classify it as one of the three options provided (Normal, Depression, or Panic), and ""Panic"" is one of those options, it would be the most appropriate choice here.",invalid
confused what to do,Normal,Confused,invalid
I'm getting more and more stressed ™ƒ,Normal,Stress,normal
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired,normal
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" might indicate a sense of resignation or hopelessness. Given the context, the sentiment leans towards:

Depression",mixed
"very heavy dog, I'm tired",Normal,"Tiredness can sometimes be a symptom of depression, but this statement alone is not definitive. Given the brevity and the use of ""very heavy,"" which could indicate feeling weighed down, the sentiment leans towards:

Depression",mixed
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive,normal
"I just wanted to write this for anyone who has not heard this today. I am proud of you. I am glad you woke up another day and fought another battle. Please remember you are loveable, I know people have made you feel like you are not but you are. You deserve to be loved and cared for. I am sorry that people have not or you feel as though no matter how much people try it will not be enough. I just want you to think about how far you have gotten, how far you have made it. You made it through all that suffering and are still going! Have a wonderful day Hey everyone!",Depression,"Pride
Normal",normal
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive,invalid
