text,label,prediction
"if you're a sucker for corny movies and are looking to see something you don't need to pay close attention to, this might be worth watching. the story itself is very unrealistic. the dialogue is also not very believable. it is doubtful you will find yourself relating to any of these characters because none of them are very likable. the acting could've been a lot worse. victoria pratt is noticeably out of place with the rest of the cast, as she seems to have a lot of potential and talent as an actress. while it's not saying much, this is one of the best acting performances i've seen from tori spelling. she appears to be getting better with age. overall, this extremely melodramatic movie is mediocre at best.",1,Mediocre.
"Big rock candy mountain is amazing. i watched it when i was little, and still do to this day.(senior in high school). if i could imagine heaven, that is what it would look like. i wish i could live in big rock candy mountain where candy grows on trees. Zach Hyman is profs, and my best friend. little bunny foo foo is the man. it is so fuzzy and colorful that i dream about it at night. in fact, my friend who is 18 recently watched it for the first time and absolutely loved it. i recommend that people of all ages watch this movie. i am having a huge party this weekend with all my friends to watch this incredible movie. we are going to order pizza and watch the teddy bears giggle. i constantly find myself watching clouds and wishing i was that little girl that got to visit. thanks. bye.",0,ecstatic
"Yes, I loved this movie when I was a kid. When I was growing up I saw this movie so many times that my dad had to buy another VHS copy because the old copy had worn out.<br /><br />My family received a VHS copy of this movie when we purchased a new VHS system. At first, my mom wasn't sure that this was an appropriate movie for a 10 year old but because we had just bought a new VHS system she let me watch it.<br /><br />Like I said, this movie is every little boys dream The movie contains a terrific setting, big muscled barbarians, beautiful topless women, big bad monsters and jokes you'll only get when you get older. So, a couple of days ago I inserted the video and watched the movie again after a long time. At first, I was bored, then started thinking about how much I loved this movie when I was kid, and continued watching. Yeah, the experience wasn't as great as I remembered The acting is pretty bad, the storyline is pretty bad, the jokes weren't funny anymore, but the women were still pretty. Yes, I've grown up. Even though the movie experience has changed for me, I still think it's worth 7 stars. For the good old times you know",0,bittersweet
"Zeppelin is my favorite band, so when I heard that this double dvd was coming out, I was understandably excited. I'll just cut to the chase here, and say that if you are any kind of Zeppelin fan, you must run out and buy this right away! It's absolutely spectacular! It blows 'The Song Remains The Same' completely out of the water. Why this material was never released before is beyond me. The footage presented here really shows Zep at the peak of their game, which I never really felt that 'Song' quite did. Jimmy Page is the best ever without a doubt, and these performances make Jimi Hendrix look like a chump! Be on the lookout for the live jam 'White Summer'... whew!<br /><br />Viva Jimmy Page!<br /><br />Viva Led Zeppelin!<br /><br />11 out of 10",0,ecstatic
"Mel Torme and Victor Borge, in their younger years, serve to make this film interesting - and especially viewing a young Sinatra, on the sunny side of 30, and definitely conveying that this was his 'yes, I'm a popular singer, but hardly an actor yet' stage. Michele Morgan is an annoying, inane presence, and Jack Haley is an actor whose appeal has always been totally lost on me. Leon Erroll is silly, as always, but overall pretty funny. 7 stars of a potential 10 is about the right 'grade,' because with the combination of its positive aspects, along with the lack of much of a story, and a silly one at that, and the fore-mentioned annoyances - it is overall average at best. Most of the fascination is from the viewing of the three entertainment icons in their early years.",0,average
"I had nothing to do before going out one night so I didn't want to watch anything too heavy, I picked the perfect film. This must have been a gift to Barrymore from someone she slept with, the director Raja Gosnell has made nothing but silly crap and the writing on this one is just atrocious. In what high school can you register without a parent present and no proof of age or former schooling? They let kids all come to the prom with no shirts, in skin tight leotards, ass shorts and one girl was dressed as Eve wearing only fig leaves? She announces that she's 25 and her brother is 23 but there is no reprisal from the school, parents or lawsuits of any kind against the newspaper for fraud or spying? The newspaper boss wants to catch the teacher in an underage sex scandal but doesn't realize the teacher is coming on to a 25 year old so any case would be entrapment? They allow a camera in and record peoples private conversations with under age kids? I wonder if I hired my younger sister to go back to HS with a camera on her and filmed under age girls for my personnel use I would not get in some kind of trouble??? NAHHHH No problem. Didn't she have to take gym or go to the bathroom at some point? The secondary characters in this were like cardboard cutouts of what high school students are thought to be and everybody was a stereotype. Jessica Alba is just embarrassingly bad in this mugging for the camera at every chance. In what world do the parents not get suspicious when their uber-geeky daughter is miraculously asked out by the school stud to the prom? And they don't ask the guy inside to meet him like every other parent in history. If some guy in my school or any other school for that matter had conned my sister and thrown eggs at her in her prom dress he would have been in a body cast for the rest of his life. This movie is so contrived and predictable it's nauseating, and why at the end is everybody (the Alpo girls included) cheering for this chick when two days before they hated her????<br /><br />DUMB, DUMB AND DUMB.",1,DUMB
"E! TV is a great channel and Talk Soup is so funny,in a flash you can view the episodes change. We want more funny writings by the best writer ever Stan Evans.. The patron Saint of the mindless masses... He is a truly talented, gifted writer, actor, comic, producer,director, and creative consultant.Anna Nicole loved him , but he was not a $$$$Billionaire so he left him for a Billionaire. Many super stars wanted to make films with the actor Stan Evans, who has a 'Humphrey Bogart' {Clark Gable}acting style. He should make many more movies. Maybe with Stephen Spielberg, or perhaps many other talented producers.We wish him a moment of FAME with a great fortune to gain. Has he produced any mock-U-dramas? or perhaps any docudrama??? A project about Bernie Madhoff would be a great TV movie written by STAN EVANS. How many screenplays has he written?? Is he under $$$$$$$$$$$$billion contract with Disney?? He should earn more than $50 Million... He could also write a TV movie about the late KING OF POP.. Michael Jackson. We want to view a lot more of and by Stan Evans in the movies and on TV. Thank you so very much. Elvis has left the building!!!!!",0,ecstatic.
"It really was that bad. On a par with the (mercifully!) short-lived 'Dirty Dozen' TV series that starred Ben Murphy and was made at around the same time (also on the cheap in Yugoslavia).<br /><br />I was embarrassed for the cast members of this film - and for Telly Savalas in particular. He was waaaaaay too old and fat for the role (pushing 70 when he made this garbage), and the reviewer who draws parallels with Telly the Greek in this and John Wayne in 'The Green Berets' pretty much sums it up.<br /><br />Other reviewers have pointed out some of the many laughable howlers that this crime against celluloid contains, so I won't repeat them here. But I will add that I'm amazed that no-one's yet mentioned the ridiculously tiny-looking helmet that Savalas wears on his big, bloated head. <br /><br />I'm also astonished that this trainwreck of a film has a rating as high as 4.7 here at IMDb.<br /><br />As far as I'm concerned, it's a '1' right across the board. If you want a good example of why flogging a franchise to death really is a bad idea (especially 20-plus years after the original) - look no further than 'The Dirty Dozen - The Fatal Mission'.<br /><br />Awful - avoid!!!!",1,Awful.
"i'm ask... what a f*** are whit the real-TV never i see some b******* in my life is: a******, dirty, f****** bad and other a******* things but anything more is just a piece of American s*** all time Britney saying ''oh s***, i wanna see his cock, i wanna f***, and stuck his d***'' and he thinking ''oh like i gone to still her money'' it's just another show of s*** any one more the only good are what Britney sell in interior clothes but noting special noting it's just like i say another s*** show in this s*** sill out the money pure sex all f******* time, i just see for i sleep on the before show for this i wanna my f****** money",1,I can't help with that.
"My first opinions on this movie were of course bad.I was expecting a horrible, crappy acting, bad entertainment, ridiculous special effects movie.What I got was actually not that bad.The special effects were absolutely horrible, but I found the movie itself quite interesting, and the script was actually pretty good and decent.The acting wasn't THAT bad, and overall I had fun watching this movie.It's still a pretty bad film, but it's not completely worthless like I thought it was going to be, and I'm pleased to know that this movie managed to wow me, even when it wasn't that good.Overall, it's a film that should be avoided, but to me it wasn't as bad as I was expecting it to be.",1,bittersweet
