pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
decision,imdb,run-001,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,,,,,,,,
decision,imdb,run-001,F,positive|negative|neutral,10000.0,4844.0,0.4844,5095.0,0.5095,61.0,0.0061,0.9324,0.938390704605882,0.9324,0.9352365751689709,0.9383907046058824,0.9324,0.9352365751689709,10000,0.9324,0.938390704605882,0.9324,0.9352365751689709,0.9383907046058824,0.9324,0.9352365751689709,10000,,,,,,,,
decision,imdb,run-001,T,positive|negative|neutral,10000.0,4217.0,0.4217,5633.0,0.5633,150.0,0.015,0.896,0.917722686794227,0.896,0.9019989630869588,0.9177226867942272,0.896,0.9019989630869588,10000,0.896,0.917722686794227,0.896,0.9019989630869588,0.9177226867942272,0.896,0.9019989630869588,10000,,,,,,,,
decision,imdb,run-002,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,,,,,,,,
decision,imdb,run-002,F,positive|negative|neutral,10000.0,4786.0,0.4786,5143.0,0.5143,71.0,0.0071,0.93,0.9371882464889044,0.93,0.9332783682609076,0.9371882464889046,0.93,0.9332783682609076,10000,0.93,0.9371882464889044,0.93,0.9332783682609076,0.9371882464889046,0.93,0.9332783682609076,10000,,,,,,,,
decision,imdb,run-002,T,positive|negative|neutral,10000.0,4237.0,0.4237,5647.0,0.5647,116.0,0.0116,0.8975,0.916096796087358,0.8975,0.9020435931021286,0.9160967960873578,0.8975,0.9020435931021286,10000,0.8975,0.916096796087358,0.8975,0.9020435931021286,0.9160967960873578,0.8975,0.9020435931021286,10000,,,,,,,,
decision,imdb,avg,BASE,positive|negative|neutral,10000.0,4623.0,0.4623,5343.0,0.5343,34.0,0.0034,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,0.9265,0.9318787625721696,0.9265,0.927965996497824,0.9318787625721696,0.9265,0.927965996497824,10000,,,,,,,,
decision,imdb,avg,F,positive|negative|neutral,10000.0,4815.0,0.4815,5119.0,0.5119,66.0,0.0066,0.9312,0.9377894755473932,0.9312,0.9342574717149392,0.9377894755473934,0.9312,0.9342574717149392,10000,0.9312,0.9377894755473932,0.9312,0.9342574717149392,0.9377894755473934,0.9312,0.9342574717149392,10000,,,,,,,,
decision,imdb,avg,T,positive|negative|neutral,10000.0,4227.0,0.4227,5640.0,0.564,133.0,0.0133,0.8967499999999999,0.9169097414407924,0.8967499999999999,0.9020212780945438,0.9169097414407924,0.8967499999999999,0.9020212780945438,10000,0.8967499999999999,0.9169097414407924,0.8967499999999999,0.9020212780945438,0.9169097414407924,0.8967499999999999,0.9020212780945438,10000,,,,,,,,
decision,mental,run-001,BASE,normal|depression|neutral,31747.0,4472.0,0.14086370365703846,27013.0,0.8508835480517845,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
decision,mental,run-001,F,normal|depression|neutral,31747.0,3580.0,0.11276656061990109,27933.0,0.8798626641887423,234.0,0.007370775191356664,0.5734715091189718,0.7273455867161787,0.5848016182654584,0.5095118618013779,0.733071931938814,0.5734715091189718,0.5042311481380877,31747,0.5734715091189718,0.7273455867161787,0.5848016182654584,0.5095118618013779,0.733071931938814,0.5734715091189718,0.5042311481380877,31747,3580.0,0.11276656061990109,27933.0,0.8798626641887423,,,,
decision,mental,run-001,T,normal|depression|neutral,31747.0,4346.0,0.13689482470784642,27280.0,0.859293791539358,121.0,0.0038113837527955397,0.5981352568746653,0.7370461917319057,0.6088649963225862,0.5450494350698015,0.7426186850200114,0.5981352568746653,0.5404281190905066,31747,0.5981352568746653,0.7370461917319057,0.6088649963225862,0.5450494350698015,0.7426186850200114,0.5981352568746653,0.5404281190905066,31747,4346.0,0.13689482470784642,27280.0,0.859293791539358,,,,
decision,mental,run-002,BASE,normal|depression|neutral,31747.0,4472.0,0.14086370365703846,27013.0,0.8508835480517845,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
decision,mental,run-002,F,normal|depression|neutral,31747.0,2522.0,0.0794405770623996,29017.0,0.9140076227675056,208.0,0.006551800170094812,0.5461933411030964,0.719490313821614,0.5585066456966663,0.4612294098309399,0.725465005347736,0.5461933411030964,0.4548747451339444,31747,0.5461933411030964,0.719490313821614,0.5585066456966663,0.4612294098309399,0.725465005347736,0.5461933411030964,0.4548747451339444,31747,2522.0,0.0794405770623996,29017.0,0.9140076227675056,,,,
decision,mental,run-002,T,normal|depression|neutral,31747.0,4347.0,0.1369263237471257,27221.0,0.8574353482218793,179.0,0.005638328030995054,0.5953318423788074,0.734546403389033,0.6060022457733971,0.5430892054047389,0.7400912795646236,0.5953318423788074,0.5384852848072023,31747,0.5953318423788074,0.734546403389033,0.6060022457733971,0.5430892054047389,0.7400912795646236,0.5953318423788074,0.5384852848072023,31747,4347.0,0.1369263237471257,27221.0,0.8574353482218793,,,,
decision,mental,avg,BASE,normal|depression|neutral,31747.0,4472.0,0.14086370365703846,27013.0,0.8508835480517845,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
decision,mental,avg,F,normal|depression|neutral,31747.0,3051.0,0.09610356884115034,28475.0,0.8969351434781239,221.0,0.006961287680725738,0.559832425111034,0.7234179502688963,0.5716541319810624,0.4853706358161589,0.729268468643275,0.559832425111034,0.479552946636016,31747,0.559832425111034,0.7234179502688963,0.5716541319810624,0.4853706358161589,0.729268468643275,0.559832425111034,0.479552946636016,31747,3051.0,0.09610356884115034,28475.0,0.8969351434781239,,,,
decision,mental,avg,T,normal|depression|neutral,31747.0,4346.5,0.13691057422748606,27250.5,0.8583645698806186,150.0,0.004724855891895297,0.5967335496267363,0.7357962975604693,0.6074336210479916,0.5440693202372702,0.7413549822923176,0.5967335496267363,0.5394567019488544,31747,0.5967335496267363,0.7357962975604693,0.6074336210479916,0.5440693202372702,0.7413549822923176,0.5967335496267363,0.5394567019488544,31747,4346.5,0.13691057422748606,27250.5,0.8583645698806186,,,,
decision,news,run-001,BASE,neutral|bearish|bullish,11931.0,5226.0,0.4380186069901936,2840.0,0.2380353700444221,3865.0,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
decision,news,run-001,F,neutral|bearish|bullish,11931.0,5778.0,0.4842846366607996,2732.0,0.22898332076104266,3421.0,0.28673204257815776,0.5661721565669265,0.6050831894459741,0.7117981997651831,0.5785895070851187,0.7416876065572715,0.5661721565669265,0.5634834841204417,11931,0.5666750481937809,0.6051410527080668,0.712056464227993,0.5788489816739578,0.7418002776917061,0.5666750481937809,0.5639887321003186,11931,,,,,2732.0,0.22898332076104266,5778.0,0.4842846366607996
decision,news,run-001,T,neutral|bearish|bullish,11931.0,4386.0,0.3676137792305758,2503.0,0.20978962366943257,5042.0,0.42259659709999164,0.6733718883580588,0.6475656242162796,0.7518909702507989,0.6630137406224977,0.761834136614341,0.6733718883580588,0.681655083998676,11931,0.6734557036292013,0.6475726537091728,0.7519340143279338,0.6630475084907929,0.7618478244174499,0.6734557036292013,0.6817208366695527,11931,,,,,2503.0,0.20978962366943257,4386.0,0.3676137792305758
decision,news,run-002,BASE,neutral|bearish|bullish,11931.0,5226.0,0.4380186069901936,2840.0,0.2380353700444221,3865.0,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
decision,news,run-002,F,neutral|bearish|bullish,11931.0,5494.0,0.46048109965635736,3616.0,0.30307602045092613,2821.0,0.23644287989271645,0.5222529544883078,0.5703810064366763,0.6973495058046111,0.5317580258697284,0.7212850432312611,0.5222529544883078,0.5046845765707147,11931,0.5226720308440198,0.5704460455642155,0.697564726190286,0.5319986598479393,0.7214116871849102,0.5226720308440198,0.5051531381817947,11931,,,,,3616.0,0.30307602045092613,5494.0,0.46048109965635736
decision,news,run-002,T,neutral|bearish|bullish,11931.0,4091.0,0.34288827424356716,3199.0,0.2681250523845445,4641.0,0.38898667337188836,0.6459642946944933,0.622173116820178,0.7452502349426392,0.6358374754982926,0.7507990232998485,0.6459642946944933,0.6521100715657527,11931,0.6460481099656358,0.6221808873908289,0.7452932790197742,0.6358733177361139,0.7508141541268841,0.6460481099656358,0.6521798634414602,11931,,,,,3199.0,0.2681250523845445,4091.0,0.34288827424356716
decision,news,avg,BASE,neutral|bearish|bullish,11931.0,5226.0,0.4380186069901936,2840.0,0.2380353700444221,3865.0,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
decision,news,avg,F,neutral|bearish|bullish,11931.0,5636.0,0.47238286815857844,3174.0,0.26602967060598437,3121.0,0.2615874612354371,0.5442125555276172,0.5877320979413252,0.704573852784897,0.5551737664774236,0.7314863248942662,0.5442125555276172,0.5340840303455783,11931,0.5446735395189004,0.5877935491361412,0.7048105952091395,0.5554238207609485,0.7316059824383081,0.5446735395189004,0.5345709351410567,11931,,,,,3174.0,0.26602967060598437,5636.0,0.47238286815857844
decision,news,avg,T,neutral|bearish|bullish,11931.0,4238.5,0.3552510267370715,2851.0,0.23895733802698854,4841.5,0.40579163523594,0.659668091526276,0.6348693705182288,0.748570602596719,0.6494256080603952,0.7563165799570948,0.659668091526276,0.6668825777822144,11931,0.6597519067974185,0.6348767705500009,0.748613646673854,0.6494604131134534,0.756330989272167,0.6597519067974185,0.6669503500555065,11931,,,,,2851.0,0.23895733802698854,4238.5,0.3552510267370715
decision,fiqasa,run-001,BASE,positive|negative|neutral,1173.0,236.0,0.2011935208866155,587.0,0.5004262574595055,350.0,0.2983802216538789,0.5140664961636828,0.5537654384292083,0.5758578954937533,0.4598915552665369,0.7779515920093809,0.5140664961636828,0.5239134832338336,1173,0.5140664961636828,0.5535136595567398,0.5758578954937533,0.4595747492224286,0.7778929938574765,0.5140664961636828,0.523839750880857,1173,,,,,,,,
decision,fiqasa,run-001,F,positive|negative|neutral,1173.0,427.0,0.3640238704177323,512.0,0.4364876385336743,234.0,0.1994884910485933,0.649616368286445,0.5773590694176494,0.6166680848688687,0.5565460769048638,0.7835438397932497,0.649616368286445,0.6760531555802652,1173,0.649616368286445,0.5757776845763526,0.6166680848688687,0.55492053263781,0.7831757937048661,0.649616368286445,0.6756748319784701,1173,,,,,,,,
decision,fiqasa,run-001,T,positive|negative|neutral,1173.0,108.0,0.0920716112531969,550.0,0.4688832054560954,515.0,0.4390451832907076,0.4083546462063086,0.560447190350103,0.5417092144870624,0.3783088656908406,0.7990438589956878,0.4083546462063086,0.3883949527672241,1173,0.4083546462063086,0.560447190350103,0.5417092144870624,0.3783088656908406,0.7990438589956878,0.4083546462063086,0.3883949527672241,1173,,,,,,,,
decision,fiqasa,run-002,BASE,positive|negative|neutral,1173.0,236.0,0.2011935208866155,587.0,0.5004262574595055,350.0,0.2983802216538789,0.5140664961636828,0.5537654384292083,0.5758578954937533,0.4598915552665369,0.7779515920093809,0.5140664961636828,0.5239134832338336,1173,0.5140664961636828,0.5535136595567398,0.5758578954937533,0.4595747492224286,0.7778929938574765,0.5140664961636828,0.523839750880857,1173,,,,,,,,
decision,fiqasa,run-002,F,positive|negative|neutral,1173.0,440.0,0.3751065643648764,505.0,0.4305200341005967,228.0,0.1943734015345268,0.6547314578005116,0.5735226549560786,0.6071068056148344,0.5543529076018755,0.7812898234704367,0.6547314578005116,0.6815931858062247,1173,0.6547314578005116,0.5724736947378949,0.6071068056148344,0.55328800866744,0.7810456920641586,0.6547314578005116,0.6813453448777499,1173,,,,,,,,
decision,fiqasa,run-002,T,positive|negative|neutral,1173.0,162.0,0.1381074168797953,657.0,0.5601023017902813,354.0,0.3017902813299232,0.4552429667519181,0.5387588011094964,0.5324354352044326,0.4010924699603895,0.7742878236175328,0.4552429667519181,0.4395240043373268,1173,0.4552429667519181,0.5387588011094964,0.5324354352044326,0.4010924699603895,0.7742878236175328,0.4552429667519181,0.4395240043373268,1173,,,,,,,,
decision,fiqasa,avg,BASE,positive|negative|neutral,1173.0,236.0,0.2011935208866155,587.0,0.5004262574595055,350.0,0.2983802216538789,0.5140664961636828,0.5537654384292083,0.5758578954937533,0.4598915552665369,0.7779515920093809,0.5140664961636828,0.5239134832338336,1173,0.5140664961636828,0.5535136595567398,0.5758578954937533,0.4595747492224286,0.7778929938574765,0.5140664961636828,0.523839750880857,1173,,,,,,,,
decision,fiqasa,avg,F,positive|negative|neutral,1173.0,433.5,0.3695652173913043,508.5,0.4335038363171355,231.0,0.1969309462915601,0.6521739130434783,0.575440862186864,0.6118874452418516,0.5554494922533697,0.7824168316318432,0.6521739130434783,0.678823170693245,1173,0.6521739130434783,0.5741256896571237,0.6118874452418516,0.554104270652625,0.7821107428845124,0.6521739130434783,0.67851008842811,1173,,,,,,,,
decision,fiqasa,avg,T,positive|negative|neutral,1173.0,135.0,0.1150895140664961,603.5,0.5144927536231884,434.5,0.3704177323103154,0.4317988064791134,0.5496029957297996,0.5370723248457475,0.3897006678256151,0.7866658413066103,0.4317988064791134,0.4139594785522754,1173,0.4317988064791134,0.5496029957297996,0.5370723248457475,0.3897006678256151,0.7866658413066103,0.4317988064791134,0.4139594785522754,1173,,,,,,,,
decision,imdb_sklearn,run-001,BASE,positive|negative|neutral,10000.0,4684.0,0.4684,5316.0,0.5316,0.0,0.0,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,,,,,,,,
decision,imdb_sklearn,run-001,F,positive|negative|neutral,10000.0,4843.0,0.4843,5157.0,0.5157,0.0,0.0,0.9367,0.9372190004456796,0.9368016180987436,0.9366894644937864,0.9373115610347176,0.9367,0.9366848909407014,10000,0.9367,0.9372190004456796,0.9368016180987436,0.9366894644937864,0.9373115610347176,0.9367,0.9366848909407014,10000,,,,,,,,
decision,imdb_sklearn,run-001,T,positive|negative|neutral,10000.0,4193.0,0.4193,5807.0,0.5807,0.0,0.0,0.9007,0.9118814143690576,0.9011645005187364,0.9000937277785889,0.9122693692666208,0.9007,0.9000501446663951,10000,0.9007,0.9118814143690576,0.9011645005187364,0.9000937277785889,0.9122693692666208,0.9007,0.9000501446663951,10000,,,,,,,,
decision,imdb_sklearn,run-002,BASE,positive|negative|neutral,10000.0,4684.0,0.4684,5316.0,0.5316,0.0,0.0,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,,,,,,,,
decision,imdb_sklearn,run-002,F,positive|negative|neutral,10000.0,4803.0,0.4803,5197.0,0.5197,0.0,0.0,0.9345,0.9352860406380448,0.934623949807066,0.9344812872004372,0.9353977621500512,0.9345,0.934475086509458,10000,0.9345,0.9352860406380448,0.934623949807066,0.9344812872004372,0.9353977621500512,0.9345,0.934475086509458,10000,,,,,,,,
decision,imdb_sklearn,run-002,T,positive|negative|neutral,10000.0,4260.0,0.426,5740.0,0.574,0.0,0.0,0.9058,0.91531138047799,0.906227139283088,0.9053200255503258,0.91567127055013,0.9058,0.9052822747509134,10000,0.9058,0.91531138047799,0.906227139283088,0.9053200255503258,0.91567127055013,0.9058,0.9052822747509134,10000,,,,,,,,
decision,imdb_sklearn,avg,BASE,positive|negative|neutral,10000.0,4684.0,0.4684,5316.0,0.5316,0.0,0.0,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,0.9336,0.9355165174948386,0.9337905636720768,0.9335448794648232,0.9356863355007102,0.9336,0.9335341615829836,10000,,,,,,,,
decision,imdb_sklearn,avg,F,positive|negative|neutral,10000.0,4823.0,0.4823,5177.0,0.5177,0.0,0.0,0.9356,0.936252520541862,0.9357127839529048,0.935585375847112,0.9363546615923845,0.9356,0.9355799887250796,10000,0.9356,0.936252520541862,0.9357127839529048,0.935585375847112,0.9363546615923845,0.9356,0.9355799887250796,10000,,,,,,,,
decision,imdb_sklearn,avg,T,positive|negative|neutral,10000.0,4226.5,0.42265,5773.5,0.57735,0.0,0.0,0.90325,0.9135963974235236,0.9036958199009122,0.9027068766644571,0.9139703199083754,0.90325,0.9026662097086542,10000,0.90325,0.9135963974235236,0.9036958199009122,0.9027068766644571,0.9139703199083754,0.90325,0.9026662097086542,10000,,,,,,,,
decision,sst2,run-001,BASE,positive|negative|neutral,10000.0,3857.0,0.3857,5579.0,0.5579,564.0,0.0564,0.8071,0.8743451997362419,0.8218326386978336,0.829650405547375,0.8853627340210518,0.8071,0.8269552592503072,10000,0.8071,0.8743451997362419,0.8218326386978336,0.829650405547375,0.8853627340210518,0.8071,0.8269552592503072,10000,,,,,,,,
decision,sst2,run-001,F,positive|negative|neutral,10000.0,4589.0,0.4589,4887.0,0.4887,524.0,0.0524,0.8514,0.9002401762954562,0.8582348115155731,0.8745887224911465,0.9061606841441596,0.8514,0.8738244623762325,10000,0.8514,0.9002401762954562,0.8582348115155731,0.8745887224911465,0.9061606841441596,0.8514,0.8738244623762325,10000,,,,,,,,
decision,sst2,run-001,T,positive|negative|neutral,10000.0,2520.0,0.252,6119.0,0.6119,1361.0,0.1361,0.6788,0.846532495713326,0.705594045734091,0.7155376928212714,0.8619716592541575,0.6788,0.7055825438945665,10000,0.6788,0.846532495713326,0.705594045734091,0.7155376928212714,0.8619716592541575,0.6788,0.7055825438945665,10000,,,,,,,,
