idx,text,label,prediction,cleaned_prediction
27,in world cinema ,1,neutral,neutral
37,heroes ,1,neutral,neutral
93,", generous and subversive artworks ",1,neutral,neutral
100,in memory ,1,neutral,neutral
111,hawaiian shirt ,1,neutral,neutral
147,realistic portrayal ,1,neutral,neutral
153,the promise of digital filmmaking ,1,neutral,neutral
212,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,neutral,neutral
233,as a dentist 's waiting room ,0,neutral,neutral
243,traditionally structured ,1,neutral,neutral
283,acted by diane lane and richard gere . ,1,neutral,neutral
312,about love and culture ,1,neutral,neutral
365,greatly ,1,neutral,neutral
366,free ,1,neutral,neutral
378,for a story ,1,neutral,neutral
388,have a passion for the material ,1,neutral,neutral
391,romanticized rendering ,1,neutral,neutral
423,complex story ,1,neutral,neutral
443,wait to see it then . ,0,neutral,neutral
463,the film 's intimate camera work ,1,neutral,neutral
470,a fairly revealing study of its two main characters ,1,neutral,neutral
472,"may be more genial than ingenious , but it gets the job done . ",1,neutral,neutral
487,grand ,1,neutral,neutral
493,an avid interest ,1,neutral,neutral
513,what you wish for ,1,neutral,neutral
519,book report ,0,neutral,neutral
577,with the the wisdom and humor of its subjects ,1,neutral,neutral
593,intelligence or invention ,1,neutral,neutral
600,hip hop beat ,1,neutral,neutral
659,"timely , tongue-in-cheek ",1,neutral,neutral
684,embracing ,1,neutral,neutral
715,accentuating ,1,neutral,neutral
724,be the cat 's meow ,1,neutral,neutral
727,be part of ,1,neutral,neutral
740,a laugh between them ,1,neutral,neutral
769,effective enough ,1,neutral,neutral
778,an entertainment destination for the general public ,1,neutral,neutral
842,any insight ,1,neutral,neutral
892,and church meetings ,1,neutral,neutral
914,narrative discipline ,1,neutral,neutral
915,samuel l. jackson ,1,neutral,neutral
926,it 's on par with the first one ,1,neutral,neutral
1010,sexual and romantic ,1,neutral,neutral
1059,the qualities ,1,neutral,neutral
1093,festival ,1,neutral,neutral
1128,worth a recommendation ,1,neutral,neutral
1129,bigger ,1,neutral,neutral
1130,our best achievements and other times ,1,neutral,neutral
1133,in private ,1,neutral,neutral
1140,it 's about family ,1,neutral,neutral
1170,more than ably ,1,neutral,neutral
1233,touching reflection ,1,neutral,neutral
1250,lightweight filmmaking ,0,neutral,neutral
1265,be able to look away for a second ,1,neutral,neutral
1267,a legacy ,1,neutral,neutral
1276,coen brothers ,1,neutral,neutral
1302,went back ,1,neutral,neutral
1334,long and eventful ,1,neutral,neutral
1343,"( or role , or edit , or score , or anything , really ",0,neutral,neutral
1364,floating narrative ,1,neutral,neutral
1399,participation ,1,neutral,neutral
1412,one-hour mark ,1,neutral,neutral
1421,grows ,1,neutral,neutral
1426,caliber ,1,neutral,neutral
1431,is built on a potentially interesting idea ,1,neutral,neutral
1467,a simple tale ,1,neutral,neutral
1483,relative modesty ,1,neutral,neutral
1522,an original ,1,neutral,neutral
1543,ethics ,1,neutral,neutral
1572,this picture ,1,neutral,neutral
1573,increasingly diverse french director ,1,neutral,neutral
1588,existential exploration ,1,neutral,neutral
1589,"road movie , coming-of-age story and political satire ",1,neutral,neutral
1609,and dog lovers ,1,neutral,neutral
1620,has been ,1,neutral,neutral
1645,do with imagination ,1,neutral,neutral
1647,dumplings ,1,neutral,neutral
1681,dialogue and sharp ,1,neutral,neutral
1683,graduated ,1,neutral,neutral
1685,enriched ,1,neutral,neutral
1781,right place ,1,neutral,neutral
1798,expresses our most basic emotions ,1,neutral,neutral
1811,to remember ,1,neutral,neutral
1812,is a real filmmaker ,1,neutral,neutral
1826,place and personal identity ,1,neutral,neutral
1830,"serious subject matter and dark , funny humor ",1,neutral,neutral
1865,worked ,1,neutral,neutral
1883,"aims to be funny , uplifting and moving , sometimes ",1,neutral,neutral
1905,his martial artistry ,1,neutral,neutral
1910,"not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions ",1,neutral,neutral
1958,an actress ,1,neutral,neutral
1966,create and sustain a mood ,1,neutral,neutral
1969,"entertaining enough , but nothing new ",0,neutral,neutral
1976,ellen pompeo sitting next to you for the ride ,1,neutral,neutral
1981,the kind of ` laugh therapy ' ,1,neutral,neutral
2043,salient points ,1,neutral,neutral
2058,african american professionals ,1,neutral,neutral
2063,", structure and rhythms ",1,neutral,neutral
2069,personality ,1,neutral,neutral
2081,awakening and ripening ,1,neutral,neutral
2083,complex ,1,neutral,neutral
2185,by the dynamic first act ,1,neutral,neutral
2201,what makes it worth watching ,1,neutral,neutral
2288,conceptual feat ,1,neutral,neutral
2296,simply by accident ,0,neutral,neutral
2321,kid-empowerment ,1,neutral,neutral
2334,but that they are doing it is thought-provoking . ,1,neutral,neutral
2363,spontaneity in its execution ,1,neutral,neutral
2390,the gloss ,1,neutral,neutral
2420,watch on video at home ,0,neutral,neutral
2423,of all ages ,1,neutral,neutral
2456,combines the enigmatic features of ` memento ' ,1,neutral,neutral
2462,pop up in nearly every corner of the country ,1,neutral,neutral
2494,is almost ,0,neutral,neutral
2501,moments and an intelligent subtlety ,1,neutral,neutral
2538,care ,1,neutral,neutral
2543,seem to match the power of their surroundings ,1,neutral,neutral
2558,storytelling skills ,1,neutral,neutral
2567,from a woodland stream ,1,neutral,neutral
2630,that works on any number of levels ,1,neutral,neutral
2664,of an alternative lifestyle ,1,neutral,neutral
2681,truest sense ,1,neutral,neutral
2706,technical proficiency ,1,neutral,neutral
2731,a lifetime ,1,neutral,neutral
2735,"of whimsicality , narrative discipline and serious improvisation ",1,neutral,neutral
2736,the touch ,1,neutral,neutral
2754,construct a story ,1,neutral,neutral
2781,is honestly ,1,neutral,neutral
2803,hmmm ,0,neutral,neutral
2822,watch these two together ,1,neutral,neutral
2843,", or inventive ",1,neutral,neutral
2883,hours of material to discuss ,1,neutral,neutral
2886,luminous interviews ,1,neutral,neutral
2908,wisdom and emotion ,1,neutral,neutral
2919,a moving story ,1,neutral,neutral
3009,economical ,1,neutral,neutral
3040,diverse ,1,neutral,neutral
3047,uniqueness ,1,neutral,neutral
3058,recognize ,1,neutral,neutral
3088,both the beauty of the land and the people ,1,neutral,neutral
3101,"simpler , leaner ",1,neutral,neutral
3119,intricately constructed ,1,neutral,neutral
3127,to be wholesome and subversive at the same time ,1,neutral,neutral
3163,the spectacle of small-town competition ,1,neutral,neutral
3224,figures prominently in this movie ,1,neutral,neutral
3227,inventiveness ,1,neutral,neutral
3235,"thought-provoking and stylish , if also somewhat hermetic . ",1,neutral,neutral
