pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
decision,imdb,run-001,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
decision,imdb,run-001,F,positive|negative|neutral,10000.0,4937.0,0.4937,5021.0,0.5021,42.0,0.0042,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,,,,,,,,
decision,imdb,run-001,T,positive|negative|neutral,10000.0,4723.0,0.4723,5251.0,0.5251,26.0,0.0026,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,,,,,,,,
decision,imdb,run-002,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
decision,imdb,run-002,F,positive|negative|neutral,10000.0,4937.0,0.4937,5021.0,0.5021,42.0,0.0042,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,,,,,,,,
decision,imdb,run-002,T,positive|negative|neutral,10000.0,4723.0,0.4723,5251.0,0.5251,26.0,0.0026,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,,,,,,,,
decision,imdb,avg,BASE,positive|negative|neutral,10000.0,4852.0,0.4852,5117.0,0.5117,31.0,0.0031,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,0.9445,0.9477414405628813,0.9445,0.9459507481508174,0.9477414405628813,0.9445,0.9459507481508174,10000,,,,,,,,
decision,imdb,avg,F,positive|negative|neutral,10000.0,4937.0,0.4937,5021.0,0.5021,42.0,0.0042,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,0.9453,0.9493164358872399,0.9453,0.9472871084639938,0.94931643588724,0.9453,0.9472871084639937,10000,,,,,,,,
decision,imdb,avg,T,positive|negative|neutral,10000.0,4723.0,0.4723,5251.0,0.5251,26.0,0.0026,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,0.9404,0.9440640103920599,0.9404,0.941567398802251,0.9440640103920598,0.9404,0.941567398802251,10000,,,,,,,,
decision,mental,run-001,BASE,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,12197.0,0.3841937820896463,19549.0,0.6157747188710744,,,,
decision,mental,run-001,F,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,11060.0,0.3483793744290799,20686.0,0.6515891265316408,,,,
decision,mental,run-001,T,normal|depression|neutral,31747.0,,,,,2.0,6.299807855860397e-05,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,13283.0,0.41840173874696823,18462.0,0.5815352631744731,,,,
decision,mental,run-002,BASE,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,12197.0,0.3841937820896463,19549.0,0.6157747188710744,,,,
decision,mental,run-002,F,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,11060.0,0.3483793744290799,20686.0,0.6515891265316408,,,,
decision,mental,run-002,T,normal|depression|neutral,31747.0,,,,,2.0,6.299807855860397e-05,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,13283.0,0.41840173874696823,18462.0,0.5815352631744731,,,,
decision,mental,avg,BASE,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,0.8391344064006048,0.8620049577176614,0.8428586890204446,0.8374913556458466,0.8649225245907168,0.8391344064006048,0.8370063376667443,31747,12197.0,0.3841937820896463,19549.0,0.6157747188710744,,,,
decision,mental,avg,F,normal|depression|neutral,31747.0,,,,,1.0,3.1499039279301984e-05,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,0.8083598450247268,0.8445533831531454,0.813117413104584,0.8047192259107003,0.8480814064693959,0.8083598450247268,0.8039294383709497,31747,11060.0,0.3483793744290799,20686.0,0.6515891265316408,,,,
decision,mental,avg,T,normal|depression|neutral,31747.0,,,,,2.0,6.299807855860397e-05,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,0.8666330676914354,0.879198365281652,0.8693678205563786,0.8660651775380782,0.8814665261786971,0.8666330676914354,0.8658015619807365,31747,13283.0,0.41840173874696823,18462.0,0.5815352631744731,,,,
decision,news,run-001,BASE,neutral|bearish|bullish,11931.0,,,,,6963.0,0.5836057329645461,0.7862710585868745,0.7659379801285313,0.7668480315803424,0.7504109565050944,0.8150353169096787,0.7862710585868745,0.7907172734130867,11931,0.786354873858017,0.7659435911055498,0.7668910756574774,0.7504373419153705,0.8150462425838125,0.786354873858017,0.7907686509884396,11931,,,,,1340.0,0.11231246333081887,3628.0,0.304081803704635
decision,news,run-001,F,neutral|bearish|bullish,11931.0,,,,,6376.0,0.5344061688039561,0.752828765401056,0.7483556534740354,0.7624044725708337,0.7317573548274301,0.8078767478053215,0.752828765401056,0.7630247548057673,11931,0.7552594082641857,0.747823579495838,0.7636527508077483,0.7322944767939514,0.8068406952815196,0.7552594082641857,0.7640706367541559,11931,,,,,1399.0,0.1172575643282206,4156.0,0.3483362668678233
decision,news,run-001,T,neutral|bearish|bullish,11931.0,,,,,7355.0,0.6164613192523678,0.795323107870254,0.780392375003152,0.7493539746257287,0.7463662000093098,0.8181629132019504,0.795323107870254,0.7969925532408714,11931,0.795323107870254,0.780392375003152,0.7493539746257287,0.7463662000093098,0.8181629132019504,0.795323107870254,0.7969925532408714,11931,,,,,1159.0,0.09714189925404408,3417.0,0.28639678149358816
decision,news,run-002,BASE,neutral|bearish|bullish,11931.0,,,,,6963.0,0.5836057329645461,0.7862710585868745,0.7659379801285313,0.7668480315803424,0.7504109565050944,0.8150353169096787,0.7862710585868745,0.7907172734130867,11931,0.786354873858017,0.7659435911055498,0.7668910756574774,0.7504373419153705,0.8150462425838125,0.786354873858017,0.7907686509884396,11931,,,,,1340.0,0.11231246333081887,3628.0,0.304081803704635
