text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
mmekkkkkkk angry pen,Normal,Anger,invalid
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxiety,normal
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness,depression
panic,Normal,"Panic

Depression
Normal",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness,depression
I sometimes get confused about what people send hampers for? .. seriously asking,Normal,Confusion,invalid
/. crazy i just woke up,Normal,Crazy,invalid
I don't know this...??,Normal,Uncertainty,invalid
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed,normal
"find yourself completely, be yourself completely, until finally you can say, ""I swear, yes, I love myself so much!""..be proud because you have youuuuu.",Normal,Pride,normal
I JUST WAKE UP???,Normal,Anxiety,normal
A bit pessimistic actually hehe,Normal,Pessimism,invalid
STRESSS SONG,Normal,Stress,normal
It's so annoying!! !,Normal,Annoyance,invalid
JY!P3 CHINGA TU MADRE,Normal,Anger,invalid
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused,invalid
"Doctors can treat your illness, but only Allah can heal you..#Reminder",Normal,Reflection,invalid
"when is this guy on vacation, I'm so tired",Normal,"Tiredness does not necessarily indicate depression, but the context and frequency of such sentiments can be indicative. Given the limited information, I would classify this as:

Normal",invalid
oh my god it's stressful,Normal,Stressful,normal
so proud hiksðŸ˜ðŸ'š,Normal,Bittersweet,mixed
"tired, just opened twt, mahen is still buzzing on tl",Normal,"Tiredness doesn't necessarily indicate depression, but the context and frequency of such sentiments might be worth considering. Given the information, I would classify this as:

Normal",invalid
"âœ¨JUAL PREMIUM APPâ.â€”netflixâ€”.antihold , full guarantee.45k/month (sharing).175k/month (private)..â€”guarantee (except viu).â€”process of processing 1x24 hours .â€”payment via fund/ovo+1k/gopay+1k/shopeepay+1k",Normal,Abnormal,invalid
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia,normal
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests a sense of resignation or acceptance. Given the context and the use of a trademark symbol after the phrase, it could imply a forced positivity. 

Depression

However, without more context, it's important to note that this could also indicate general fatigue rather than clinical depression.",mixed
I'm just angry,Normal,"Anger can be a temporary emotion for various reasons and doesn't necessarily indicate depression. However, if this anger persists and is accompanied by other symptoms, it might be worth considering further. Given the limited context, I would classify this as:

Normal",normal
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity and lack of additional context, I would classify this as:

Normal",invalid
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stress,normal
I'm stressed about this law school '†,Normal,Stress,normal
WOI SHOCKED TO SEE JK KEK GTðŸ˜,Normal,Shock,invalid
"Panic! Still in the stomach, there's already a lot of behavior",Normal,Panic,invalid
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tiredness,normal
"Since we are born, we learn many things. As we get closer to death, we forget a lot of things. .~ #OneOkRock (Deeper Deeper)",Normal,Reflection,invalid
"Hii dear Redditors! I am feeling happy and good after a long time!!! I wish I stay like this, I just cannot describe this feeling...I am alone but for the first time I am enjoying my lonliness...ah I just cannot describe. I know this feeling may fade away soon but still till then let me cherish this. Hope those who are struggling with their own battle soon overcome, you are not alone :)) Feeling Happy!!",Depression,Happy,normal
"No matter if you are here because you have depression or you just want to help other depressive people, I wanted to give you a hug and tell you, do not ever give up. I know you can achieve a slighty better future or even a perfect one, never give up Keep on trying to achieve something bigger, I am proud of you for trying! Just wanted to say this",Depression,Pride,normal
I have taken the time to talk to a center for mental health to seek help after a series of events in my life caused me to realize that I really need help. I am proud of myself. The first step was hard to do but it is a good feeling once it is been planted. I hope all for you that are struggling can take that step. I made the first step tonight.,Depression,"Proud

Classification: Normal",normal
"I am working on a free project to help people who are alone or do not have supportive people around. Please let me know what phrases you would like to hear/read throughout the day. e.g. Hey, I am proud of you! Life has been hard and yet you are still here! you are a rock star! , you are worthy of love, taking your meds will make you feel better, going to bed earlier will make tomorrow easier etc etc. Positive Reinforcement only please. [Question] What Spoken/Text Positive Phrases &amp; Reminders would be helpful for you throughout the day via your phone or virtual assistant speaker?",Depression,Positive,normal
I am going to go apeshit on the next person I see that thinks they can treat me however the fuck they want. I fucking dare someone to try some shit. 1st prize is a knife to the face. going to Snap,Depression,Aggressive,invalid
"I have been trying to drop hints that I need to see someone professional and she finally asked if I would be interested in seeing a psychiatrist, I think Ill finally be on a road to being better My Mom Finally asked if I want help",Depression,Hopeful,normal
"Some light amidst all the darkness These past few months have been the hardest of my life in terms of my depression, but today I graduated with a first class degree",Depression,Bipolar,invalid
"After three years of medication for my clinical depression, and anxiety i stopped last week. My life had been quite traumatic previously to this, lost a father, had crazy family problems and was not having the best high school experience. After 6 years in total (three before the meds), I am so proud of myself. 5 attempted suicides and the trips to the mental health hospital ward at least three times a year (I am a guy btw). I am finally happy. My family love me so much, even if it does not feel like it. For anyone out there feeling lonely, you always have someone to fall back on, does not have to be family but someone will always be there i promise xps. if you are being recommended to start taking some anti-depressants, i can promise you the reward is a lot better than the risk. Lots of love, Stay Safe I am finally happy",Depression,Proud,normal
"After dwelling inside and not leaving my house for over 3 weeks, I went out walking at this nice summer night, and as I got home, I felt incredible euphoria, peaking around a few minutes ago and slowly fading away now. All of the loneliness and anxieties and pain are about 80% decreased and I am actually filled with a feeling of motivation and momentum, something I have not felt in a very long time. This is honestly the happiest I have been this entire year I believe. I just got high from a walk outside.",Depression,"Euphoria

Classification: Normal

Note: While the sentiment expressed is euphoric and positive, the mention of using substances to achieve such feelings could be a red flag for underlying issues. However, based solely on the sentiment described, it can be classified as ""Normal."" It's important to consider the broader context and potential underlying issues when evaluating mental states.",normal
"So excited to get this going. I have been trying to get my psychologist to refer me but he kept wanting to try different meds (which I understand). But, finally I have a shot. A shot at not being miserable 24/7. I really hope ECT helps somewhat. Positive vibes only, I am sure it will work :) Got a referral for ECT!!",Depression,Hopeful,normal
