text,label,prediction,normalized_label
"annoyed ,",Normal,"Annoyed

Normal",normal
Tired. That's the first drop. Sorry Ricky..,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""That's the first drop"" might indicate a sense of resignation or hopelessness. Given the context, the sentiment leans towards:

Depression",mixed
mmekkkkkkk angry pen,Normal,Anger,invalid
crying dreamis?,Normal,"Crying suggests a negative emotional state, but the brevity and the question mark make it less clear-cut. 

Depression

(Note: The classification is made based on the available information, which is limited due to the brevity of the text.)",mixed
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the use of an emoticon-like abbreviation ""asu"" which could mean ""as usual,"" it suggests a routine feeling rather than deep distress. 

Normal",normal
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional,invalid
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Normal",mixed
Oh very. Tired right.,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However, it's important to note that a single post may not fully capture the complexity of someone's mental state.",invalid
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxiety,normal
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness,depression
Sad can't do mani pedi ²,Normal,Sadness,depression
panic,Normal,"Panic

Depression
Normal",mixed
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness,depression
/. crazy i just woke up,Normal,"Crazy

Normal

(Note: The text is brief and could be interpreted in multiple ways, but ""crazy"" on its own can sometimes indicate confusion or a lack of clarity, which might align more with a normal state of mind rather than depression. However, without more context, it's challenging to make a definitive classification.)",normal
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed,normal
I'm so bored rei doesn't wake up Â²,Normal,"Boredom
Depression",mixed
