text,label,prediction
"annoyed ,",Normal,"Annoyed

Normal"
Tired. That's the first drop. Sorry Ricky..,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned in the text, the overall sentiment doesn't strongly indicate depression. It's a common feeling that can be normal.)"
mmekkkkkkk angry pen,Normal,"Angry

Normal

(Note: The text appears to be a mix of random letters and an emotion, but without context, it's difficult to definitively classify. However, based on the single word provided, ""angry"" is more aligned with a normal emotional state rather than depression.)"
Last night I forgot to cook rice when the siren sounded. Panic huh? Panic huh? Panic WON'T COOK,Normal,"Panic

Depression

The repetition and capitalization of ""Panic"" suggest a heightened state of anxiety or distress, which can be associated with depression. However, the immediate sentiment expressed is one of panic. Given the options, ""Panic"" is more directly applicable to the immediate emotional state described in the post."
crying dreamis?,Normal,"Crying

Depression"
why is this so nauseous,Normal,"Nauseous

Depression

Note: The text ""why is this so nauseous"" could indicate physical discomfort, but it can also sometimes be associated with feelings of nausea that can accompany depression. However, based on the given text alone, the primary classification would be ""Nauseous."" If we are to strictly classify it in terms of mental state, it could reflect early signs of depression."
I'm tired asu,Normal,"Tired

Normal

Note: The phrase ""asu"" seems to be a typo or an abbreviation for ""as usual,"" which doesn't provide enough context to definitively classify this as depression. The primary sentiment here is just feeling tired, which can be normal."
"Oh god, lazy to go to the kitchen",Normal,"Lazy

Classification: Normal

Note: While the statement shows a lack of motivation, which can sometimes be associated with depression, the statement is quite mild and could simply indicate a bad day or a casual description of feeling tired. Without more context, it's best to classify it as normal."
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional
"I'm so tired, aren't you?",Normal,"Tired

Classification: Normal

Note: While feeling tired can be a symptom of depression, the statement is quite general and could simply indicate fatigue without necessarily reflecting depression. However, since the task is to classify based on the given options, ""Normal"" is chosen over ""Depression."""
Oh very. Tired right.,Normal,"Tired

Normal

(Note: While ""Tired"" is mentioned in the text, the classification is based on overall sentiment which appears to be normal fatigue rather than depression.)"
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxious
"Tired.. really.. really, tired! Don't want to give it up..",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""Don't want to give it up.."" could indicate resignation or hopelessness. 

Depression

(Note: For accurate diagnosis, professional evaluation is necessary.)"
just woke up.. keep dizzy ”,Normal,"Dizziness alone can be normal, but in the context of a depressed state, it could indicate physical symptoms of depression. Given the briefness and the specific mention of dizziness upon waking, I would classify this as:

Depression"
Tired of not having a day off :(,Normal,"Tiredness

Depression

The sentiment suggests a feeling of fatigue and lack of motivation, which can be associated with depression. However, without more context, it could also just indicate general tiredness. Given the use of a sad face emoticon, it leans more towards a depressive sentiment."
Sad can't do mani pedi ²,Normal,Sadness
panic,Normal,"Panic

Normal

Note: While ""panic"" can indicate a distressing emotional state, it doesn't necessarily mean the person is in a state of depression. It could be a temporary reaction to a stressful situation. However, based on the given options, I classified it under 'Normal' as it's a brief term and not indicative of a prolonged depressive state."
Ya kahar ¡ðŸ˜¡ðŸ˜¡ #FreeQuds,Normal,"Kahar is a Urdu/Pashto word meaning anger or frustration. Given the context and the use of sad emojis, the sentiment seems to lean towards depression. 

Depression"
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sad
"Tired of working too, not fasting",Normal,"Tired

Normal

The statement expresses fatigue from work and mentions not fasting, but there are no clear indicators of depression such as hopelessness, loss of interest, or suicidal thoughts. It seems more like a statement of current feelings rather than a sign of depression."
/. crazy i just woke up,Normal,"Crazy

Normal

(Note: The text is brief and could be interpreted in multiple ways, but ""crazy"" on its own doesn't necessarily indicate depression. It could simply mean the person is feeling chaotic or disoriented upon waking up.)"
"I just woke up but I'm tired, what's the sign?",Normal,"Tiredness

Normal"
"Happy people want to celebrate, I'm nervous to celebrate £",Normal,"Nervousness indicates a mixed feeling rather than depression, but the context leans more towards anxiety about happiness. 

Normal"
I'm tired of being there,Normal,"Tiredness

Classification: Normal

Note: While the statement indicates some level of fatigue or dissatisfaction, it doesn't strongly indicate depression. However, persistent feelings of being tired of being somewhere could be an early sign of depression in some contexts. More context would be needed for a definitive diagnosis."
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed
I'm so bored rei doesn't wake up Â²,Normal,"Bored

Depression

Normal

Bored

Depression

Bored

Depression

Bored

Normal

Bored

Depression

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored

Normal

Bored"
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this statement alone is not definitive. It could also indicate general fatigue. Given the limited context, I would classify this as:

Normal

However, if this is a recurring sentiment expressed by the writer, it might be worth further investigation for signs of depression."
"Yes, I'm frustrated with these 3 small ones, I'm tired",Normal,Frustrated
A bit pessimistic actually hehe,Normal,"Pessimistic

Normal

Note: While the text shows a slight pessimistic tone, it also includes a light-hearted ""hehe,"" which suggests the writer is not severely depressed but perhaps just having a down moment. However, based on the instruction to classify as either Normal or Depression, and since the tone isn't severely negative, I would classify it as Normal."
"Ya Allah, all my grades are out, I'm really scared",Normal,"Scared

Depression

The statement shows signs of anxiety and fear about grades, which could indicate a depressive state. However, without more context, it's important to note that fear about grades alone doesn't definitively classify someone as depressed. But based on the given options and the content of the message, ""Depression"" seems to be the more fitting classification."
STRESSS SONG,Normal,Stress
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Bored
It's so annoying!! !,Normal,Annoyed
OH MY GOD FEAR CANCEL,Normal,Fear
Drowsykkkkkkkk arhhhhhhhh,Normal,"Drowsy

Normal

The text shows signs of fatigue but doesn't strongly indicate depression. It's more about feeling tired or sleepy."
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,"Tired

Normal

The post expresses tiredness from the previous day but doesn't show clear signs of depression. It's more about fatigue from an event (Benji's laughter) rather than a depressive state."
