text,label,prediction
"annoyed ,",Normal,"Annoyed

Normal"
Tired. That's the first drop. Sorry Ricky..,Normal,"Tiredness can sometimes be an early sign of depression, but this alone is not definitive. Given the context, the sentiment leans towards:

Depression"
mmekkkkkkk angry pen,Normal,Anger
for the angst AU wp banginho/chanmin,Normal,Angst
I'm tired asu,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the use of an emoticon-like abbreviation ""asu"" which could mean ""as usual,"" it might indicate a more generalized feeling rather than clinical depression. 

Normal"
"* What kind of anime jpf is very emotional, eh esmonic, emotional, emotional. EMOTIONAL!!!!",Normal,Emotional
"I'm so tired, aren't you?",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the question format, it could also indicate seeking validation or simply feeling overwhelmed. 

Depression
Normal"
Oh very. Tired right.,Normal,"Tiredness can be a symptom of depression, but this post is too brief to make a definitive diagnosis. Given the options, I would classify it as:

Normal

However, it's important to note that a single post may not fully capture the complexity of someone's mental state."
WHEN WILL MY PACKAGE BE SHIPPED?!? A little bit of Eid you know,Normal,Anxiety
"Watching the coverage of the explosion in Beirut last year in the morning, it's really sad.",Normal,Sadness
panic,Normal,"Panic

Depression
Normal"
It's only been 3 days since he was confirmed positive for covid and went to the sg buloh hospital. So sad,Normal,Sadness
/. crazy i just woke up,Normal,Crazy
"I just woke up but I'm tired, what's the sign?",Normal,"Tiredness

Depression"
I don't know this...??,Normal,Uncertain
"I'm annoyed, the tbtb lecturer said the exam was on a day that wasn't scheduled, it was already the same morning, he said he was still asking for student approval but it was his own decisionðŸ™„",Normal,Annoyed
it's still early but already tired,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity, we should be cautious. 

Normal"
A bit pessimistic actually hehe,Normal,Pessimistic
STRESSS SONG,Normal,Stress
"I'm so bored of the tv in the office, just set the meter to the tv first",Normal,Boredom
It's so annoying!! !,Normal,Annoyed
Drowsykkkkkkkk arhhhhhhhh,Normal,Drowsy
KWWKKWKW YAALLAH TIRED FROM YESTERDAY BENJI LAUGHTER,Normal,Tiredness
JY!P3 CHINGA TU MADRE,Normal,Anger
'€ð ''ð 'Ÿð 'Ÿð '¦-ð '—ð 'Žð '›ð ''..big deals huft confused about yeri or nana,Normal,Confused
I'm jealous of people who have started their day off today,Normal,"Jealousy can be a normal emotion, but in the context of a depressive state, feelings of envy or jealousy about others' situations can be more pronounced and persistent. Given the limited information, this alone might not definitively indicate depression, but it leans towards a potential indicator. 

Depression
(Note: For a definitive diagnosis, professional evaluation is necessary.)"
NERVOUS,Normal,"Nervousness can be a symptom of depression, but it can also be a normal emotional response to stress or anxiety. Without more context, it's difficult to definitively classify this as indicative of depression. However, if we must choose based on the term alone:

Depression"
Tired eh tired,Normal,Tired
"when is this guy on vacation, I'm so tired",Normal,"Tiredness does not necessarily indicate depression, but the context is limited. Normal"
oh my god it's stressful,Normal,Stressful
"I'm so tired, oh my God",Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. Given the brevity and the statement, it could also simply indicate general fatigue. 

Normal"
"tired, just opened twt, mahen is still buzzing on tl",Normal,Tired
hhhhh insecure again...ðŸ˜”ðŸ˜¿,Normal,Insecure
"If you remember when you were in elementary school, it used to be really fun, playing chase, playing baseball, I really wanted to be in Geraldos' group because he threw it so far, then there was monkey love haha. When I remember that, I feel like I want to go back to elementary school where all I can think about is ""what are you playing today""....",Normal,Nostalgia
Tired but must be enjoyed ™‚,Normal,"Tiredness can sometimes be a sign of depression, but this phrase also suggests acceptance. Given the context, it leans more towards a normal response to fatigue rather than indicative of depression. 

Normal"
"en! psrn bene only aladdin how much huh? want to sell, I'm confused, how much is the price",Normal,Confused
I'm just angry,Normal,Anger
Tired.,Normal,"Tiredness can be a symptom of depression, but it can also be a result of many other factors. Given the brevity, we cannot make a definitive classification. However, if we must choose based on the provided options:

Normal"
Now I feel how people are stressed about this stupid pkp. Urgh,Normal,Stress
I'm stressed about this law school '†,Normal,Stress
WOI SHOCKED TO SEE JK KEK GTðŸ˜,Normal,Shock
"Panic! Still in the stomach, there's already a lot of behavior",Normal,"Panic

Depression

Normal

Classification: Panic

Given the text, it seems to express a sense of ongoing and possibly escalating anxiety or panic, rather than a clear indication of depression or normalcy. However, since the task is to classify it as one of the three options provided (Normal, Depression, or Panic), and ""Panic"" is one of those options, it would be the most appropriate choice here."
confused what to do,Normal,Confused
I'm getting more and more stressed ™ƒ,Normal,Stress
"btw, I'm on both accounts, I'm tired of going back and forth",Normal,Tired
I also want to wait. Tired like this,Normal,"Tiredness can be a symptom of depression, but this alone is not definitive. The phrase ""I also want to wait"" might indicate a sense of resignation or hopelessness. Given the context, the sentiment leans towards:

Depression"
