model_pair,personality,metric,kappa,n_datasets,labels_a,labels_b,datasets
L3 vs Q3,E,shift,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,E,F1,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,I,shift,1,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,I,F1,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:+,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,S,shift,0.294117647059,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,S,F1,0.454545454545,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:+,mental:+","imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,N,shift,0.806451612903,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:-,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,N,F1,0.625,6,"imdb:-,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:-,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,F,shift,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:+,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,F,F1,1,6,"imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,T,shift,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:-,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,T,F1,0.806451612903,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:-","imdb:-,imdb_sklearn:-,sst2:-,fiqasa:-,news:+,mental:+","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
L3 vs Q3,J,shift,0.294117647059,6,"imdb:-,imdb_sklearn:-,sst2:-,fiqasa:+,news:-,mental:+","imdb:+,imdb_sklearn:+,sst2:+,fiqasa:+,news:-,mental:-","imdb,imdb_sklearn,sst2,fiqasa,news,mental"
